URL,UR,Traffic,Traffic value,Referring domains,Keywords,Top keyword,Top keyword: Volume,Top keyword: Position,Page type
https://www.buyshedsdirect.co.uk/blog/post/harnessing-solar-power-with-solar-panels-for-sheds,0,104,33.24,0,40,solar panels for sheds,300,7,
https://www.buyshedsdirect.co.uk/blog/post/inexpensive-privacy-fence-ideas,0,102,25.49,0,12,cheap privacy fence ideas,450,6,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-pergola-for-beginners-guide,0,100,28.78,0,13,how to build a pergola,900,6,
https://www.buyshedsdirect.co.uk/blog/post/deck-ideas-composite-patio-decking-in-garden,0,100,52.81,0,20,decking ideas,4100,11,
https://www.buyshedsdirect.co.uk/blog/post/greenhouse-base-ideas-and-foundation-options,0,99,26.21,0,12,greenhouse base ideas,200,2,
https://www.buyshedsdirect.co.uk/blog/post/childrens-playhouse-ideas-for-creativity-play,0,89,7.93,0,18,kids outdoor play house,600,7,
https://www.buyshedsdirect.co.uk/blog/post/garden-shed-workshop-ideas-layout,0,88,21.14,0,13,shed layout ideas,90,1,
https://www.buyshedsdirect.co.uk/blog/post/no-fuss-gardens-no-mow-lawn-alternatives-for-2023,0,87,32.21,0,28,grass alternatives you can walk on uk,150,6,
https://www.buyshedsdirect.co.uk/blog/post/running-power-adding-electricity-to-a-shed,0,77,18.62,0,33,electricity to shed regulations uk,100,4,
https://www.buyshedsdirect.co.uk/blog/post/garage-conversion-ideas-perfect-interior-makeover,0,73,36.24,0,6,small garage conversion ideas,1400,5,
https://www.buyshedsdirect.co.uk/blog/post/low-maintenance-small-front-garden-ideas,0,67,26.04,0,14,small front garden ideas uk,1000,6,
https://www.buyshedsdirect.co.uk/blog/post/shed-roof-felt-replacement-guide,0,67,14.20,0,34,felting a shed roof,450,9,
https://www.buyshedsdirect.co.uk/blog/post/diy-garage-storage-design-shelving-workbench-ideas,0,65,229.86,0,11,garage shelving ideas,600,6,
https://www.buyshedsdirect.co.uk/blog/post/garden-room-insulation-guide,0,60,31.75,0,25,insulation for summer house,200,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed-base,4.5,60,19.21,1,38,garden shed base,350,8,
https://www.buyshedsdirect.co.uk/blog/post/stylish-front-garden-fence-ideas,0,59,25.46,0,27,front garden fence ideas,1200,12,
https://www.buyshedsdirect.co.uk/blog/post/waterproof-garden-canopy-ideas-sheds-small-gardens,0,59,27.27,0,18,waterproof garden canopy ideas,200,5,
https://www.buyshedsdirect.co.uk/blog/post/how-to-turn-shed-into-gym-ideas,0,57,19.22,1,12,small shed gym ideas,100,2,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-log-store,0,55,9.22,0,17,log store plans,200,3,
https://www.buyshedsdirect.co.uk/blog/post/care-and-maintenance-of-pressure-treated-wood,0,54,2.29,3,45,can you stain pressure treated wood,40,1,
https://www.buyshedsdirect.co.uk/blog/post/how-to-soundproof-a-drumming-shed,0,49,19.95,0,8,soundproof shed for drums,40,1,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-summer-house-is-planning-permission-required,0,48,31.92,0,9,building a summer house,250,3,
https://www.buyshedsdirect.co.uk/blog/post/garden-room-uses-how-to-create-your-own-garden-music-studio,0,48,47.65,0,5,garden music studio,300,4,
https://www.buyshedsdirect.co.uk/blog/post/fence-covering-ideas-how-to-cover-an-unsightly-fence,0,48,7.24,0,22,fence covering ideas,450,7,
https://www.buyshedsdirect.co.uk/blog/post/advantages-of-metal-sheds-vs-wooden-sheds,0,47,5.70,0,9,metal vs wood shed,100,2,
https://www.buyshedsdirect.co.uk/blog/post/greenhouse-staging-shelving-storage-ideas,0,46,6.72,0,11,greenhouse storage,150,5,
https://www.buyshedsdirect.co.uk/blog/post/plastic-sheds-vs-wooden-sheds,0,43,3.12,0,12,are plastic sheds better than wood,90,3,
https://www.buyshedsdirect.co.uk/blog/post/fence-height-extension-covering-ideas,0,42,6.31,0,24,extending fence height ideas,80,4,
https://www.buyshedsdirect.co.uk/blog/post/garden-pergola-ideas-differences-pergola-vs-pagoda,0,42,27.63,0,13,pagoda garden,1000,9,
https://www.buyshedsdirect.co.uk/blog/post/garden-edging-ideas,0,40,2.84,0,7,garden sleeper border ideas,200,4,
https://www.buyshedsdirect.co.uk/blog/post/10-best-shed-accessories-upgrades,0,38,6.64,0,3,shed accessories,300,6,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-fence,0,37,28.04,0,16,garden fence installation,250,7,
https://www.buyshedsdirect.co.uk/blog/post/best-plastic-shed-advantages,0,34,8.19,0,6,best plastic sheds,200,4,
https://www.buyshedsdirect.co.uk/blog/post/clever-garden-screening-ideas-and-privacy-solutions,0,34,5.75,0,20,privacy garden ideas,150,7,
https://www.buyshedsdirect.co.uk/blog/post/what-type-of-shed-makes-the-best-garden-workshop,0,24,14.86,0,10,garden shed workshop,150,6,
https://www.buyshedsdirect.co.uk/blog/post/installing-windows-in-a-shed-guide-replacement-advice,0,23,15.57,0,9,replacement shed windows,150,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-felt-a-shed-roof,0,22,0.28,0,8,how to felt a shed roof,800,11,
https://www.buyshedsdirect.co.uk/blog/post/how-to-hide-a-shed,0,21,0.63,0,5,how to disguise a garden shed uk,70,3,
https://www.buyshedsdirect.co.uk/blog/post/how-to-make-a-wheelie-bin-store-diy-guide,0,21,1.22,0,12,diy wheelie bin screen,50,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-install-a-shed-base-on-grass,0,21,2.79,1,9,can you put a shed on grass,70,4,
https://www.buyshedsdirect.co.uk/blog/post/using-osb-for-shed-walls-roofs,0,20,5.00,0,9,what is osb,500,11,
https://www.buyshedsdirect.co.uk/blog/post/what-is-a-garage-buying-the-best-garages,0,19,2.70,0,11,types of garages,60,3,
https://www.buyshedsdirect.co.uk/blog/post/apex-or-pent-shed-roof,0,18,16.49,0,4,pent or apex shed,80,6,
https://www.buyshedsdirect.co.uk/blog/post/how-to-dismantle-a-shed,0,18,4.64,0,8,how to dismantle a shed,350,12,
https://www.buyshedsdirect.co.uk/blog/post/off-the-shelf-vs-homemade-greenhouse-shelving-ideas,0,17,2.76,0,6,greenhouse shelving ideas,200,9,
https://www.buyshedsdirect.co.uk/blog/post/how-long-do-wooden-sheds-last-maintenance-and-repairs,0,17,3.48,0,1,how long do sheds last,50,2,
https://www.buyshedsdirect.co.uk/blog/post/garden-office-interior-design-ideas-layouts-tips,0,16,13.02,0,6,garden office ideas,450,14,
https://www.buyshedsdirect.co.uk/blog/post/garage-design-ideas,0,16,7.43,0,6,garage ideas uk,350,10,
https://www.buyshedsdirect.co.uk/blog/post/how-to-insulate-a-summer-house-ventilation-tips,0,15,8.02,0,9,insulating a summer house,150,11,
https://www.buyshedsdirect.co.uk/blog/post/what-is-a-potting-shed-ideas-for-gardeners,0,14,0.99,0,6,what is a potting shed,100,7,
https://www.buyshedsdirect.co.uk/blog/post/how-to-weatherproof-and-waterproof-a-shed,0,12,2.36,0,7,watertight shed,80,6,
https://www.buyshedsdirect.co.uk/blog/post/diy-pergola-plans-designs-ideas,0,11,5.60,0,5,diy pergola,1500,17,
https://www.buyshedsdirect.co.uk/blog/post/constructing-a-shed-how-long-does-it-take-to-put-up,0,10,1.23,0,7,how long does it take to build a shed,50,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-apply-for-shed-planning-permission,0,9,0.79,0,8,planning permission for shed,300,10,
https://www.buyshedsdirect.co.uk/blog/post/outdoor-lighting-ideas-for-gardens,0,9,1.96,0,3,garden lights ideas,300,8,
https://www.buyshedsdirect.co.uk/blog/post/3-superb-reasons-why-your-next-garden-shed-should-be-a-4life-modular-shed,0,9,5.15,0,2,modular shed,100,8,
https://www.buyshedsdirect.co.uk/blog/post/resin-vs-vinyl-vs-plastic-shed-materials-what-is-the-difference,0,9,1.06,0,12,vinyl sheds,150,9,
https://www.buyshedsdirect.co.uk/blog/post/best-shed-cladding-options,0,8,2.60,0,6,cladded shed,150,9,
https://www.buyshedsdirect.co.uk/blog/category/garden-offices,0,8,13.02,0,6,garden office buildings,900,17,
https://www.buyshedsdirect.co.uk/blog/post/home-garden-ideas-patios-back-gardens,0,8,2.92,0,4,home garden ideas,80,5,
https://www.buyshedsdirect.co.uk/blog/post/solar-power-panel-ideas-for-the-garden,0,8,8.37,0,5,garden solar panel,150,9,
https://www.buyshedsdirect.co.uk/blog/post/do-summer-houses-add-value-to-your-home,0,8,4.91,0,3,does a summer house add value,50,3,
https://www.buyshedsdirect.co.uk/blog/post/are-plastic-sheds-any-good,0,7,0.64,0,2,are plastic sheds any good,150,8,
https://www.buyshedsdirect.co.uk/blog/post/best-mini-greenhouses-cold-frames-ideas,0,7,1.26,0,7,best mini greenhouse uk,150,11,
https://www.buyshedsdirect.co.uk/blog/post/climbing-plants-for-arbours,0,6,0.56,0,6,climbing plants for shade,700,20,
https://www.buyshedsdirect.co.uk/blog/post/garden-furniture-ideas-most-comfortable-outdoor-furniture,0,6,2.90,0,6,patio furniture ideas,40,5,
https://www.buyshedsdirect.co.uk/blog/post/treating-fence-panels-guide,0,6,0.72,0,4,fence panel treatment,80,7,
https://www.buyshedsdirect.co.uk/blog/post/climbing-plants-for-pergolas-arches-arbours,0,5,0.33,0,4,best climbing plants for pergolas uk,50,9,
https://www.buyshedsdirect.co.uk/blog/post/community-gardens-projects-ideas-benefits,0,5,9.10,1,5,community garden ideas,60,6,
https://www.buyshedsdirect.co.uk/blog/post/she-shed-ideas-designs,0,5,2.18,0,1,she sheds,80,6,
https://www.buyshedsdirect.co.uk/blog/post/a-beginner-s-guide-to-allotments,0,5,1.16,0,3,allotment sheds,150,11,
https://www.buyshedsdirect.co.uk/blog/post/choosing-the-best-shed-for-your-garden-shed-design-ideas,0,5,3.05,0,3,shed design,300,12,
https://www.buyshedsdirect.co.uk/blog/post/innovative-garden-storage-ideas-solutions,0,4,0.93,0,2,garden storage ideas,700,17,
https://www.buyshedsdirect.co.uk/blog/post/what-is-a-summer-house-meaning,0,4,,0,2,what is summer house,90,10,
https://www.buyshedsdirect.co.uk/blog/post/do-plastic-sheds-need-a-base,0,4,0.64,0,9,does a shed need a base,30,5,
https://www.buyshedsdirect.co.uk/blog/post/summer-house-ideas-on-a-budget-affordable-garden-getaway,0,4,1.06,0,2,how to build a summer house on a budget,70,6,
https://www.buyshedsdirect.co.uk/blog/post/overlap-or-tongue-and-groove-shed,0,3,2.44,0,6,overlap sheds,100,11,
https://www.buyshedsdirect.co.uk/blog/post/how-to-beef-up-garden-shed-security,0,3,1.05,1,3,shed security,500,20,
https://www.buyshedsdirect.co.uk/blog/post/garden-tools-list-equipment-accessories-essentials,0,3,0.62,0,3,garden tools list,200,14,
https://www.buyshedsdirect.co.uk/blog/post/summer-garden-ideas,0,3,,0,2,summer garden ideas,150,13,
https://www.buyshedsdirect.co.uk/blog/post/best-garage-storage-organisation-ideas,0,3,0.99,0,5,ideas for garage storage,100,9,
https://www.buyshedsdirect.co.uk/blog/post/can-i-install-a-brick-foundation-for-a-shed,0,3,1.59,0,3,brick base shed,20,5,
https://www.buyshedsdirect.co.uk/blog/post/buy-a-bargain-summerhouse-or-playhouse-to-make-the-school-summer-holidays-special,0,2,,0,1,summer house kids,80,9,
https://www.buyshedsdirect.co.uk/blog/post/a-useful-guide-to-the-differences-between-sheds-workshops-and-wooden-garages,0,2,1.47,0,5,sheds and workshops,50,9,
https://www.buyshedsdirect.co.uk/blog/post/garden-ideas-small-spaces-space-saving-alternative-shed-storage,0,2,1.13,0,3,shed alternative,10,2,
https://www.buyshedsdirect.co.uk/blog/post/five-tools-you-need-to-build-a-shed,0,2,0.58,0,2,shed tools,50,8,
https://www.buyshedsdirect.co.uk/blog/post/freestanding-wooden-and-metal-garages,0,2,1.18,0,1,freestanding garage,100,11,
https://www.buyshedsdirect.co.uk/blog/post/garden-house-extension-vs-brick-extension,0,2,2.23,0,5,brick garden house,60,8,
https://www.buyshedsdirect.co.uk/blog/post/modern-garden-inspiring-design-ideas-for-2023,0,2,0.71,0,4,modern garden ideas,4300,27,
https://www.buyshedsdirect.co.uk/blog/post/how-forest-4life-sheds-are-rewriting-the-rule-book-for-wooden-sheds-longevity,0,2,1.74,0,2,shed for life,60,11,
https://www.buyshedsdirect.co.uk/blog/post/outdoor-shade-ideas-for-a-garden,0,2,1.82,0,1,garden shade ideas,600,16,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-greenhouse-guide,0,1,0.49,0,1,greenhouse assembly,30,5,
https://www.buyshedsdirect.co.uk/blog/post/shed-maintenance-tips-cleaning-care-advice,0,1,,0,1,should i treat the inside of my shed,20,8,
https://www.buyshedsdirect.co.uk/blog/post/playhouse-planning-permission,0,1,,0,1,can my neighbour build a playhouse overlooking my garden,10,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-make-a-shed-slate-roof,0,1,0.98,0,2,slate roof shed,20,5,
https://www.buyshedsdirect.co.uk/blog/post/garage-tool-storage-ideas,0,1,0.20,0,2,garage tool storage,700,25,
https://www.buyshedsdirect.co.uk/blog/post/cheap-shed-ideas-and-the-best-value-plastic-sheds,0,1,0.12,0,6,cheap shed ideas,20,9,
https://www.buyshedsdirect.co.uk/blog/post/portable-gas-heaters-to-warm-your-shed,0,1,0.26,0,2,gas heater for shed,30,7,
https://www.buyshedsdirect.co.uk/blog/post/creating-shade-in-the-garden-shade-sails-vs-gazebo-pergola-plants,0,1,0.45,0,2,wooden garden shade,20,11,
https://www.buyshedsdirect.co.uk/blog/category/outdoor-living,0,0,0.00,0,1,raised garden sleepers ideas,350,41,
https://www.buyshedsdirect.co.uk/blog/post/your-guide-to-creating-a-log-cabin-garden-office,0,0,0.00,0,1,log cabin office,400,49,
https://www.buyshedsdirect.co.uk/blog/post/why-you-should-consider-buying-a-summer-house-in-2023,0,0,0.00,0,3,summer house ideas,3200,83,
https://www.buyshedsdirect.co.uk/blog/post/garden-waste-disposal-recycling-to-avoid-burning,0,0,0.00,0,2,garden waste removal cost,200,3,
https://www.buyshedsdirect.co.uk/blog/post/meet-our-suppliers-forest-garden,0,0,0.00,0,2,forest garden sheds,1000,50,
https://www.buyshedsdirect.co.uk/blog/post/garden-studio-design-tips-creative-home-space,0,0,0.09,0,7,small garden room interior ideas,200,30,
https://www.buyshedsdirect.co.uk/blog/post/fence-post-repair-vs-replacement,0,0,0.00,0,2,concrete fence post repair,200,44,
https://www.buyshedsdirect.co.uk/blog/post/5-small-summerhouses-for-under-900-pounds,0,0,0.00,0,9,cheap small summer houses,100,50,
https://www.buyshedsdirect.co.uk/blog/post/the-best-apps-to-get-you-gardening,0,0,0.00,0,1,gardening apps,50,75,
https://www.buyshedsdirect.co.uk/blog/post/high-security-garden-sheds-reviewed,0,0,0.00,0,5,secure sheds,150,58,
https://www.buyshedsdirect.co.uk/blog/post/do-garden-offices-add-value-to-your-home,0,0,0.19,0,1,does a garden office add value,200,25,
https://www.buyshedsdirect.co.uk/blog/post/are-wooden-planters-good-bringing-rustic-elegance-to-your-garden,0,0,0.00,0,3,green wooden planter,50,6,
https://www.buyshedsdirect.co.uk/blog/post/garden-workshops-the-hardest-working-sheds,0,0,0.00,0,1,heavy duty garden workshops,300,59,
https://www.buyshedsdirect.co.uk/blog/post/forest-garden-partners-with-alan-titchmarshs-new-youtube-channel,0,0,,0,1,recycled plastic raised beds alan titchmarsh,0,6,
https://www.buyshedsdirect.co.uk/blog/post/how-to-use-paving-slabs-for-a-shed-base,0,0,0.00,0,2,paving slabs for shed base,250,60,
https://www.buyshedsdirect.co.uk/blog/post/small-garden-ideas-cottage-garden-inspiration-concepts-layouts,0,0,0.10,0,14,small cottage garden ideas,350,21,
https://www.buyshedsdirect.co.uk/blog/post/the-top-5-reasons-to-buy-a-metal-shed-and-which-ones-you-should-choose,0,0,0.00,0,1,are metal sheds any good,200,78,
https://www.buyshedsdirect.co.uk/blog/post/which-are-britains-10-strongest-most-secure-metal-garden-storage-units-and-sheds,0,0,0.00,0,1,secure sheds,150,88,
https://www.buyshedsdirect.co.uk/blog/post/what-the-shed-of-the-year-winners-have-taught-us-over-the-years,0,0,0.00,0,1,shed of the year,150,60,
https://www.buyshedsdirect.co.uk/blog/post/how-to-turn-your-garden-shed-into-santas-grotto,0,0,0.00,0,1,homemade santa's grotto ideas,200,57,
https://www.buyshedsdirect.co.uk/blog/post/garden-room-decor-ideas-decor-interior-design-tips,0,0,0.18,0,9,garden room decor ideas,200,27,
https://www.buyshedsdirect.co.uk/blog/post/best-garden-sheds-to-buy,0,0,0.06,0,2,best garden sheds uk,300,32,
https://www.buyshedsdirect.co.uk/blog/post/wooden-shed-designs-and-design-plans,0,0,0.00,0,1,shed design,300,75,
https://www.buyshedsdirect.co.uk/blog/post/which-is-the-best-shed-felt-to-use,0,0,0.00,0,2,best roofing felt,200,78,
https://www.buyshedsdirect.co.uk/blog/post/garden-room-design-ideas-guide,0,0,0.00,0,7,luxury garden room,200,52,
https://www.buyshedsdirect.co.uk/blog/post/design-ideas-for-creating-a-garden-room,0,0,0.00,0,5,garden building ideas,400,49,
https://www.buyshedsdirect.co.uk/blog/post/garden-office-ideas-designs-planning,0,0,0.00,0,2,garden office interior ideas,250,80,
https://www.buyshedsdirect.co.uk/blog/post/best-garden-storage-boxes,0,0,0.00,0,2,best garden storage box,200,84,
https://www.buyshedsdirect.co.uk/blog/post/choosing-best-garden-furniture-covers,0,0,0.14,0,2,best outdoor furniture covers for winter uk,10,9,
https://www.buyshedsdirect.co.uk/blog/post/should-i-buy-a-summer-house-or-a-log-cabin,0,0,0.00,0,2,log cabin summer house,600,65,
https://www.buyshedsdirect.co.uk/blog/post/what-is-tongue-and-groove-cladding-for-sheds,0,0,0.01,0,1,tongue and groove cladding for sheds,150,35,
https://www.buyshedsdirect.co.uk/blog/post/meet-our-suppliers-palram-canopia,0,0,,0,1,palram stockists uk,10,9,
https://www.buyshedsdirect.co.uk/blog/post/fence-accessories-guide,0,0,0.00,0,1,fence accessories,150,39,
https://www.buyshedsdirect.co.uk/blog/post/what-are-the-best-log-cabins-and-garden-offices-for-homeworking,0,0,0.00,0,1,log cabin office,400,76,
https://www.buyshedsdirect.co.uk/blog/post/how-to-paint-a-shed,0,0,0.00,0,2,shed painting ideas,200,33,
