"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics,2026-03-01,Dynamics,2026-03-02,Dynamics
"Dutch canopies",https://awningdepot.co.uk/dutch-canopy/,,170,3,0,3,0,4,-1,-,0,4,96,5,-1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,31,-26,30,1,5,25,5,0,5,0,5,0,4,1,4,0,4,0,21,-17,24,-3,3,21,3,0,3,0,2,1
"Dutch canopy",https://awningdepot.co.uk/dutch-canopy/,,170,7,0,6,1,6,0,7,-1,6,1,6,0,6,0,6,0,6,0,"No data","No data",5,0,7,-2,7,0,7,0,5,2,6,-1,36,-30,36,0,12,24,29,-17,35,-6,11,24,8,3,11,-3,34,-23,34,0,34,0,7,27,11,-4,11,0
"Victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,140,2,0,2,0,2,0,-,0,2,98,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,7,-4,4,3,4,0
"Victorian awning",https://awningdepot.co.uk/traditional-victorian-awning/,,140,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,5,-3,5,0,2,3
"Cafe awnings",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,-5,1,5
"Cafe awning",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,"No data","No data",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,-5,1,5,1,0,1,0,1,0,1,0,1,0,3,-2,2,1,2,0,1,1
"Pub awnings",https://awningdepot.co.uk/,Targeted,70,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,3,0,3,0,4,-1,4,0,3,1,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,4,0,3,1
"Commercial awnings and canopies",https://awningdepot.co.uk/,Targeted,70,3,0,3,0,3,0,3,0,3,0,5,-2,5,0,3,2,8,-5,3,5,4,-1,6,-2,6,0,4,2,4,0,7,-3,2,5,2,0,6,-4,4,2,4,0,6,-2,3,3,3,0,4,-1,4,0,4,0,4,0,4,0,3,1
"Commercial retractable awning",https://awningdepot.co.uk/,,70,7,0,8,-1,7,1,7,0,8,-1,7,1,8,-1,8,0,7,1,7,0,7,0,7,0,8,-1,8,0,8,0,9,-1,8,1,8,0,8,0,7,1,9,-2,9,0,7,2,9,-2,9,0,8,1,7,1,7,0,6,1,8,-2
"Drop arm awnings",https://awningdepot.co.uk/drop-arm-blind/,,70,4,0,5,-1,4,1,5,-1,4,1,4,0,4,0,4,0,5,-1,5,0,5,0,5,0,5,0,5,0,4,1,5,-1,3,2,4,-1,4,0,4,0,4,0,3,1,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,12,-8
"Dutch canopy awnings",https://awningdepot.co.uk/dutch-canopy/,,50,6,0,7,-1,7,0,6,1,7,-1,7,0,7,0,7,0,7,0,7,0,8,-1,8,0,3,5,3,0,3,0,3,0,20,-17,28,-8,8,20,19,-11,5,14,5,0,5,0,5,0,5,0,24,-19,5,19,5,0,5,0,5,0
"Dutch canopy awning",https://awningdepot.co.uk/dutch-canopy/,,50,5,0,5,0,5,0,6,-1,5,1,7,-2,7,0,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,22,-17,5,17,4,1,5,-1,19,-14,5,14,5,0,5,0,16,-11,23,-7,23,0,5,18,5,0,4,1
"Restaurant Awnings UK",https://awningdepot.co.uk/,,30,7,0,7,0,7,0,7,0,7,0,8,-1,7,1,8,-1,9,-1,9,0,9,0,8,1,8,0,8,0,10,-2,9,1,9,0,9,0,10,-1,11,-1,6,5,6,0,7,-1,6,1,6,0,7,-1,8,-1,6,2,7,-1,8,-1
"Drop arm awnings uk",https://awningdepot.co.uk/drop-arm-blind/,,30,9,0,9,0,8,1,10,-2,5,5,9,-4,5,4,4,1,9,-5,5,4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,10,-5,5,5,4,1,4,0,4,0,10,-6,5,5,4,1,4,0,4,0,4,0,4,0
"Traditional victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,30,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,4,-3,2,2
"Shop awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,20,1,0,1,0,1,0,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,9,-6,1,8,1,0,2,-1,5,-3,2,3,2,0,1,1,1,0,1,0,1,0,1,0,2,-1,4,-2,1,3
"Pub awnings uk",https://awningdepot.co.uk/,Targeted,10,4,0,4,0,5,-1,5,0,4,1,3,1,3,0,3,0,3,0,3,0,4,-1,4,0,3,1,2,1,4,-2,4,0,4,0,4,0,3,1,4,-1,4,0,2,2,2,0,5,-3,2,3,6,-4,4,2,3,1,3,0,2,1
"Pub garden awning",https://awningdepot.co.uk/pub-garden-canopy/,Targeted,10,4,0,5,-1,5,0,5,0,4,1,5,-1,3,2,7,-4,4,3,4,0,8,-4,8,0,8,0,9,-1,8,1,8,0,7,1,5,2,6,-1,8,-2,7,1,6,1,6,0,9,-3,6,3,8,-2,8,0,8,0,5,3,2,3
"Cafe awnings uk",https://awningdepot.co.uk/cafe-awnings/,Targeted,10,1,0,1,0,-,0,2,98,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,5,-4,4,1,1,3,1,0,1,0,1,0,1,0,1,0,4,-3,4,0,4,0,5,-1
"Comercial awnings & canopies",https://awningdepot.co.uk/,Targeted,10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,3,0,3,0
"Victorian awnings london",https://awningdepot.co.uk/traditional-victorian-awning/,,10,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,2,1,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,5,-3,9,-4,5,4
"Dutch canopies uk",https://awningdepot.co.uk/dutch-canopy/,,10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,16,-13,16,0,3,13,10,-7,11,-1,2,9,2,0,2,0,11,-9,12,-1,16,-4,2,14,2,0,2,0
"Commercial retractable awnings uk",https://awningdepot.co.uk/,,10,11,0,12,-1,12,0,12,0,48,-36,10,38,11,-1,11,0,12,-1,12,0,12,0,12,0,12,0,11,1,12,-1,10,2,8,2,10,-2,11,-1,7,4,9,-2,8,1,8,0,9,-1,8,1,8,0,7,1,8,-1,8,0,8,0
"Shop awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,2,0,4,-2,8,-4,2,6,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,3,-1,1,2
"Awnings and canopies",https://awningdepot.co.uk/shop-awnings-and-canopies/,,8,9,0,8,1,8,0,10,-2,28,-18,9,19,10,-1,10,0,10,0,10,0,7,3,7,0,7,0,7,0,15,-8,8,7,8,0,6,2,8,-2,7,1,7,0,7,0,6,1,6,0,8,-2,8,0,8,0,8,0,8,0,8,0
