"Google United Kingdom (London, England, United Kingdom), interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics
"weekly fruit delivery to office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,4,0,4,0,5,-1,2,3,5,-3,5,0,4,1,4,0,6,-2,6,0,4,2,4,0,5,-1,4,1,3,1,3,0,3,0,3,0,4,-1,5,-1,5,0,4,1,5,-1,4,1,1,3,1,0,1,0,1,0
"fresh fruit delivery to office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,3,1,3,0,4,-1,4,0,2,2,2,0,3,-1,1,2
"fresh fruit for office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,1,2
"fruit delivery to office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",70,4,0,4,0,2,2,5,-3,5,0,5,0,5,0,4,1,5,-1,5,0,5,0,5,0,4,1,5,-1,4,1,3,1,2,1,3,-1,4,-1,4,0,5,-1,4,1,5,-1,4,1,2,2,1,1,3,-2,1,2
"fruit for office delivery",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,1,2,1,0,2,-1,1,1
"Office fruit delivery uk",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,2,0,4,-2,3,1,3,0,4,-1,4,0,4,0,3,1,3,0,3,0,4,-1,4,0,4,0,4,0,3,1,3,0,2,1,3,-1,3,0,4,-1,4,0,3,1,4,-1,3,1,2,1,2,0,2,0,1,1
"fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,360,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit baskets delivered",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"gift fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,2,-1,1,1,1,0
"fruit baskets for delivery",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit baskets near me",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,320,2,0,2,0,2,0,2,0,5,-3,5,0,1,4,4,-3,1,3,5,-4,4,1,4,0,5,-1,3,2,1,2,2,-1,4,-2,5,-1,3,2,2,1,2,0,1,1,1,0,2,-1,2,0,2,0,1,1,2,-1
"get well fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets-birthday,,390,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,3,-1,3,0,3,0,3,0,2,1,1,1,2,-1,2,0,2,0
"gift and fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit baskets gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,"No data","No data",1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,2,-1,1,1,1,0
"fruit baskets as gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,590,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,2,-1,1,1,1,0
"fruit baskets delivered uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit baskets london uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit and veg delivery",https://www.fruit4london.co.uk/,,150,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,4,1,10,-6,6,4,8,-2,7,1,3,4,4,-1,3,1,3,0,2,1,7,-5,2,5,2,0
"fruit and veg delivery near me",https://www.fruit4london.co.uk/,,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,9,-6,3,6,10,-7,3,7,24,-21,24,0,2,22,2,0,2,0,2,0,32,-30,32,0,3,29
"fresh fruit and veg delivery",https://www.fruit4london.co.uk/,,590,1,0,1,0,1,0,3,-2,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,3,0,4,-1,3,1,2,1,3,-1,3,0,2,1,2,0,2,0,2,0,1,1,1,0,3,-2
"fruit and veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,260,3,0,3,0,4,-1,7,-3,4,3,4,0,4,0,4,0,4,0,4,0,6,-2,6,0,7,-1,10,-3,6,4,9,-3,9,0,8,1,10,-2,10,0,10,0,12,-2,6,6,8,-2,7,1,9,-2,9,0,8,1
"fruit and veg box delivery near me",https://www.fruit4london.co.uk/,,320,2,0,3,-1,10,-7,7,3,3,4,3,0,3,0,3,0,3,0,3,0,4,-1,3,1,3,0,3,0,6,-3,5,1,5,0,5,0,8,-3,9,-1,9,0,10,-1,11,-1,10,1,10,0,5,5,8,-3,4,4
"delivery fruit and veg",https://www.fruit4london.co.uk/,,1600,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,5,-4,4,1,4,0,4,0,5,-1,5,0,5,0,4,1,3,1,3,0,3,0,3,0,3,0,3,0
"fruit veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,110,21,0,22,-1,22,0,-,0,9,91,14,-5,14,0,14,0,14,0,14,0,9,5,10,-1,18,-8,13,5,16,-3,73,-57,9,64,8,1,10,-2,9,1,13,-4,14,-1,7,7,10,-3,9,1,10,-1,12,-2,11,1
"local fruit and veg delivery",https://www.fruit4london.co.uk/,,320,1,0,1,0,1,0,1,0,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,3,2,4,-1,3,1,3,0,4,-1,3,1,3,0,4,-1,2,2,1,1,1,0,1,0,1,0
"fruit and veg deliveries",https://www.fruit4london.co.uk/,,10,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,5,-4,5,0,5,0,40,-35,4,36,12,-8,6,6,3,3,5,-2,3,2,5,-2,3,2,5,-2,3,2
"fruit & veg deliveries",https://www.fruit4london.co.uk/,,1600,3,0,4,-1,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,5,-2,7,-2,3,4,3,0,4,-1,4,0,4,0,5,-1,6,-1,4,2,3,1,3,0,2,1,2,0,4,-2,2,2,4,-2,4,0
