"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,Map,2026-01-03,Dynamics,Map,2026-01-06,Dynamics,Map,2026-01-09,Dynamics,Map,2026-01-12,Dynamics,Map,2026-01-13,Dynamics,Map,2026-01-14,Dynamics,Map,2026-01-15,Dynamics,Map,2026-01-16,Dynamics,Map,2026-01-17,Dynamics,Map,2026-01-18,Dynamics,Map,2026-01-19,Dynamics,Map,2026-01-20,Dynamics,Map,2026-01-21,Dynamics,Map,2026-01-22,Dynamics,Map,2026-01-23,Dynamics,Map,2026-01-24,Dynamics,Map,2026-01-25,Dynamics,Map,2026-01-26,Dynamics,Map,2026-01-27,Dynamics,Map,2026-01-28,Dynamics,Map,2026-01-29,Dynamics,Map,2026-01-30,Dynamics,Map,2026-01-31,Dynamics,Map
"technology parks",https://www.miltonpark.co.uk/,"Current Target",1300,12,0,,11,1,,11,0,,11,0,,10,1,,10,0,,10,0,,10,0,,11,-1,,9,2,,11,-2,,12,-1,,12,0,,12,0,,9,3,,10,-1,,11,-1,,11,0,,11,0,,10,1,,11,-1,,10,1,,11,-1,,11,0,
"technology park",https://www.miltonpark.co.uk/,"Current Target",1300,5,0,,5,0,,7,-2,,5,2,,9,-4,,10,-1,,8,2,,11,-3,,5,6,,5,0,,5,0,,5,0,,5,0,,5,0,,9,-4,,14,-5,,14,0,,11,3,,10,1,,7,3,,10,-3,,13,-3,,8,5,,7,1,
"technological park",https://www.miltonpark.co.uk/,"Current Target",1300,23,0,,24,-1,,20,4,,20,0,,22,-2,,19,3,,21,-2,,23,-2,,26,-3,,27,-1,,26,1,,23,3,,25,-2,,25,0,,17,8,,25,-8,,24,1,,23,1,,25,-2,,13,12,,23,-10,,23,0,,23,0,,24,-1,
"commercial property rental",,,1000,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford tech park",https://www.miltonpark.co.uk/,"Current Target",720,9,0,,13,-4,,16,-3,,15,1,,16,-1,,15,1,,14,1,,17,-3,,17,0,,18,-1,,16,2,,18,-2,,13,5,,19,-6,,14,5,,19,-5,,21,-2,,21,0,,21,0,,22,-1,,22,0,,20,2,,22,-2,,22,0,
"meeting rooms in oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,20,0,,22,-2,,20,2,,20,0,,19,1,,20,-1,,20,0,,21,-1,,20,1,,19,1,,20,-1,,18,2,,18,0,,20,-2,,20,0,,22,-2,,22,0,,24,-2,,22,2,,23,-1,,22,1,,22,0,,21,1,,22,-1,
"oxford technology park",https://www.miltonpark.co.uk/,"Current Target",720,8,0,,7,1,,8,-1,,8,0,,6,2,,7,-1,,6,1,,7,-1,,7,0,,7,0,,7,0,,7,0,,7,0,,5,2,,17,-12,,10,7,,23,-13,,22,1,,22,0,,24,-2,,7,17,,24,-17,,17,7,,15,2,
"conference rooms oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,17,0,,18,-1,,18,0,,19,-1,,19,0,,19,0,,19,0,,20,-1,,19,1,,19,0,,19,0,,25,-6,,24,1,,25,-1,,24,1,,25,-1,,24,1,,25,-1,,27,-2,,25,2,,27,-2,,26,1,,27,-1,,21,6,
"meeting rooms oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,23,0,,22,1,,23,-1,,23,0,,22,1,,22,0,,22,0,,22,0,,23,-1,,24,-1,,24,0,,23,1,,23,0,,23,0,,26,-3,,25,1,,27,-2,,25,2,,25,0,,11,14,,24,-13,,22,2,,26,-4,,25,1,
"the oxford science park",https://www.miltonpark.co.uk/,"Current Target",720,14,0,,14,0,,14,0,,13,1,,14,-1,,15,-1,,14,1,,14,0,,16,-2,,14,2,,10,4,,11,-1,,11,0,,14,-3,,14,0,,7,7,,9,-2,,14,-5,,9,5,,13,-4,,14,-1,,11,3,,16,-5,,13,3,
"commercial property to rent Oxfordshire",https://www.miltonpark.co.uk/commercial-property/,,480,13,0,,14,-1,,14,0,,14,0,,15,-1,,15,0,,15,0,,15,0,,15,0,,15,0,,15,0,,15,0,,17,-2,,15,2,,15,0,,15,0,,15,0,,15,0,,15,0,,15,0,,15,0,,15,0,,14,1,,15,-1,
"commercial property to rent oxford",https://www.miltonpark.co.uk/commercial-property/,,480,10,0,,11,-1,,11,0,,11,0,,11,0,,11,0,,12,-1,,12,0,,14,-2,,14,0,,14,0,,14,0,,15,-1,,15,0,,16,-1,,16,0,,16,0,,13,3,,15,-2,,13,2,,15,-2,,13,2,,15,-2,,14,1,
"commercial property for rent oxford",https://www.miltonpark.co.uk/commercial-property/,,480,9,0,,10,-1,,10,0,,10,0,,10,0,,14,-4,,14,0,,14,0,,14,0,,14,0,,14,0,,14,0,,14,0,,14,0,,14,0,,14,0,,16,-2,,15,1,,15,0,,15,0,,15,0,,16,-1,,16,0,,15,1,
"commercial property for lease",,,330,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"rent a serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office rental",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office to rent",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"rent serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford science centre",https://www.miltonpark.co.uk/,"Current Target",320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"what is a serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office space",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,320,92,0,,91,1,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,93,7,,-,0,,-,0,,-,0,,88,12,,88,0,,-,0,,-,0,,87,13,,96,-9,,84,12,,93,-9,
"oxford serviced office",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,260,8,0,,8,0,,8,0,,8,0,,8,0,,9,-1,,9,0,,9,0,,8,1,,8,0,,8,0,,9,-1,,18,-9,,9,9,,17,-8,,16,1,,10,6,,10,0,,10,0,,11,-1,,10,1,,11,-1,,11,0,,11,0,
"science parks in the uk",https://www.miltonpark.co.uk/,"Current Target",260,8,0,,8,0,,7,1,,8,-1,,8,0,,7,1,,6,1,,8,-2,,8,0,,8,0,,8,0,,8,0,,7,1,,6,1,,8,-2,,6,2,,6,0,,7,-1,,7,0,,6,1,,7,-1,,6,1,,9,-3,,8,1,
"science park abingdon",https://www.miltonpark.co.uk/,"Current Target",260,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,
"science parks uk",https://www.miltonpark.co.uk/,"Current Target",260,9,0,,9,0,,8,1,,7,1,,7,0,,7,0,,7,0,,7,0,,7,0,,7,0,,7,0,,7,0,,7,0,,7,0,,8,-1,,8,0,,8,0,,8,0,,8,0,,6,2,,8,-2,,8,0,,8,0,,7,1,
"abingdon science park",https://www.miltonpark.co.uk/,"Current Target",260,3,0,,3,0,,4,-1,,3,1,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,2,1,,3,-1,,2,1,,2,0,,3,-1,,3,0,,2,1,
"uk science parks",https://www.miltonpark.co.uk/,"Current Target",260,17,0,,17,0,,14,3,,14,0,,14,0,,12,2,,12,0,,12,0,,12,0,,12,0,,12,0,,11,1,,13,-2,,11,2,,14,-3,,14,0,,12,2,,11,1,,10,1,,7,3,,7,0,,7,0,,13,-6,,8,5,
"serviced office oxford",https://www.miltonpark.co.uk/commercial-property/office/,,210,8,0,,8,0,,8,0,,9,-1,,9,0,,9,0,,10,-1,,9,1,,9,0,,9,0,,11,-2,,10,1,,10,0,,16,-6,,50,-34,,17,33,,10,7,,10,0,,10,0,,11,-1,,15,-4,,10,5,,13,-3,,11,2,
"serviced office space to rent",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,210,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"commercial property in oxford",https://www.miltonpark.co.uk/commercial-property/,,170,16,0,,23,-7,,23,0,,14,9,,22,-8,,24,-2,,23,1,,23,0,,22,1,,22,0,,15,7,,26,-11,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office for rent",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,170,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,49,51,,45,4,
"science companies",https://www.miltonpark.co.uk/whos-here/,"Current Target",170,32,0,,30,2,,30,0,,33,-3,,33,0,,34,-1,,32,2,,33,-1,,32,1,,29,3,,33,-4,,31,2,,33,-2,,28,5,,14,14,,14,0,,14,0,,27,-13,,27,0,,30,-3,,33,-3,,35,-2,,16,19,,35,-19,
"what is a science park",https://www.miltonpark.co.uk/,"Current Target",170,39,0,,40,-1,,45,-5,,40,5,,42,-2,,43,-1,,45,-2,,41,4,,41,0,,42,-1,,39,3,,39,0,,36,3,,39,-3,,2,37,,42,-40,,41,1,,39,2,,40,-1,,41,-1,,42,-1,,40,2,,-,0,,39,61,
"science centre abingdon",https://www.miltonpark.co.uk/,"Current Target",140,6,0,,6,0,,7,-1,,7,0,,6,1,,6,0,,7,-1,,7,0,,8,-1,,10,-2,,10,0,,9,1,,9,0,,9,0,,6,3,,9,-3,,9,0,,8,1,,8,0,,8,0,,8,0,,8,0,,6,2,,9,-3,
"science park near me",https://www.miltonpark.co.uk/whos-here/,"Current Target",110,42,0,,31,11,,39,-8,,48,-9,,51,-3,,54,-3,,47,7,,39,8,,46,-7,,42,4,,43,-1,,49,-6,,46,3,,45,1,,45,0,,48,-3,,51,-3,,44,7,,44,0,,50,-6,,47,3,,22,25,,45,-23,,42,3,
"Lab space",https://www.miltonpark.co.uk/lab-space-at-milton-park/,,110,37,0,,45,-8,,36,9,,34,2,,31,3,,30,1,,28,2,,30,-2,,33,-3,,33,0,,32,1,,34,-2,,34,0,,33,1,,42,-9,,34,8,,34,0,,35,-1,,35,0,,42,-7,,36,6,,35,1,,38,-3,,37,1,
"Laboratory space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,110,19,0,,24,-5,,24,0,,24,0,,24,0,,22,2,,20,2,,21,-1,,22,-1,,21,1,,22,-1,,24,-2,,23,1,,26,-3,,27,-1,,31,-4,,31,0,,26,5,,26,0,,34,-8,,33,1,,24,9,,33,-9,,28,5,
Labspace,https://www.miltonpark.co.uk/lab-space-at-milton-park/,,110,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,41,59,,61,-20,,62,-1,,61,1,,61,0,,62,-1,,60,2,,61,-1,,69,-8,,59,10,,59,0,,59,0,,61,-2,,62,-1,,60,2,,61,-1,,23,38,,58,-35,
"commercial property to rent didcot",https://www.miltonpark.co.uk/commercial-property/,,90,45,0,,43,2,,46,-3,,44,2,,50,-6,,47,3,,46,1,,47,-1,,44,3,,47,-3,,44,3,,47,-3,,52,-5,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Rental lab space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,30,0,,20,10,,22,-2,,21,1,,22,-1,,72,-50,,22,50,,31,-9,,23,8,,21,2,,21,0,,21,0,,57,-36,,22,35,,22,0,,24,-2,,24,0,,24,0,,21,3,,24,-3,,27,-3,,28,-1,,28,0,,27,1,
"Lab rental space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,23,0,,23,0,,21,2,,20,1,,19,1,,20,-1,,19,1,,17,2,,19,-2,,20,-1,,18,2,,20,-2,,20,0,,22,-2,,22,0,,20,2,,21,-1,,24,-3,,24,0,,21,3,,27,-6,,23,4,,23,0,,20,3,
"Laboratory rental space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,29,0,,21,8,,21,0,,19,2,,18,1,,19,-1,,19,0,,19,0,,18,1,,25,-7,,19,6,,19,0,,18,1,,19,-1,,24,-5,,24,0,,18,6,,19,-1,,15,4,,24,-9,,27,-3,,20,7,,19,1,,17,2,
"meeting room hire oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",90,5,0,,5,0,,5,0,,7,-2,,5,2,,5,0,,5,0,,5,0,,5,0,,5,0,,5,0,,5,0,,9,-4,,5,4,,5,0,,12,-7,,10,2,,11,-1,,15,-4,,10,5,,73,-63,,8,65,,9,-1,,8,1,
"Renting lab space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford science park companies",https://www.miltonpark.co.uk/whos-here/,"Current Target",70,11,0,,9,2,,9,0,,9,0,,9,0,,9,0,,9,0,,9,0,,10,-1,,9,1,,9,0,,9,0,,9,0,,9,0,,9,0,,9,0,,9,0,,9,0,,9,0,,10,-1,,9,1,,10,-1,,9,1,,8,1,
"science centre near abingdon",https://www.miltonpark.co.uk/,"Current Target",70,1,0,,5,-4,,5,0,,5,0,,4,1,,4,0,,5,-1,,5,0,,5,0,,7,-2,,7,0,,6,1,,6,0,,6,0,,6,0,,6,0,,6,0,,6,0,,6,0,,6,0,,6,0,,5,1,,6,-1,,6,0,
"science and technology park",https://www.miltonpark.co.uk/,"Current Target",50,10,0,,11,-1,,9,2,,8,1,,8,0,,8,0,,9,-1,,9,0,,9,0,,9,0,,9,0,,9,0,,8,1,,8,0,,6,2,,4,2,,4,0,,4,0,,8,-4,,7,1,,8,-1,,9,-1,,10,-1,,7,3,
"serviced office benefits",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"fully serviced office space",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"benefits of a serviced office",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"didcot science park",https://www.miltonpark.co.uk/,"Current Target",40,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,
"Lab workspace",https://www.miltonpark.co.uk/commercial-property/research-development/,,30,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,89,11,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Office productivity",,,30,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office space oxford",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,20,7,0,,7,0,,7,0,,7,0,,8,-1,,8,0,,8,0,,7,1,,9,-2,,7,2,,8,-1,,7,1,,9,-2,,8,1,,8,0,,9,-1,,9,0,,9,0,,8,1,,9,-1,,9,0,,14,-5,,9,5,,18,-9,
"commercial property to rent Abingdon",https://www.miltonpark.co.uk/commercial-property/,,20,37,0,,35,2,,35,0,,19,16,,42,-23,,32,10,,18,14,,-,0,,41,59,,-,0,,38,62,,23,15,,42,-19,,38,4,,40,-2,,42,-2,,42,0,,40,2,,38,2,,43,-5,,39,4,,39,0,,40,-1,,38,2,
"Laboratory space for lease",https://www.miltonpark.co.uk/commercial-property/,,20,16,0,,17,-1,,16,1,,18,-2,,17,1,,17,0,,19,-2,,17,2,,19,-2,,18,1,,18,0,,43,-25,,19,24,,24,-5,,53,-29,,19,34,,19,0,,20,-1,,20,0,,20,0,,20,0,,20,0,,20,0,,33,-13,
"serviced office for sale",https://www.miltonpark.co.uk/commercial-property/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"rent serviced office space",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Lab space Oxfordshire",https://www.miltonpark.co.uk/commercial-property/laboratory/,,10,4,0,,5,-1,,7,-2,,5,2,,4,1,,4,0,,4,0,,4,0,,3,1,,3,0,,4,-1,,3,1,,3,0,,2,1,,4,-2,,4,0,,3,1,,2,1,,4,-2,,3,1,,2,1,,3,-1,,2,1,,4,-2,
"commercial property to let oxford",https://www.miltonpark.co.uk/commercial-property/,,10,19,0,,18,1,,17,1,,16,1,,20,-4,,20,0,,20,0,,21,-1,,21,0,,21,0,,20,1,,21,-1,,21,0,,21,0,,13,8,,23,-10,,23,0,,21,2,,21,0,,21,0,,21,0,,21,0,,25,-4,,26,-1,
"Laboratory rental cost",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"property commercial to rent",https://www.miltonpark.co.uk/commercial-property/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office near me",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Coworking productivity",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Increasing productivity in the office",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"meeting room hire abingdon",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",10,21,0,,21,0,,23,-2,,23,0,,23,0,,22,1,,20,2,,19,1,,21,-2,,23,-2,,-,0,,22,78,,22,0,,22,0,,20,2,,23,-3,,23,0,,22,1,,22,0,,22,0,,24,-2,,23,1,,23,0,,22,1,
"How to improve productivity in the office",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"meeting room abingdon",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",10,13,0,,14,-1,,17,-3,,11,6,,12,-1,,12,0,,10,2,,10,0,,10,0,,10,0,,56,-46,,15,41,,11,4,,11,0,,2,9,,15,-13,,20,-5,,12,8,,12,0,,21,-9,,20,1,,15,5,,15,0,,13,2,
"commercial property to lease oxford",https://www.miltonpark.co.uk/commercial-property/,,0,11,0,,14,-3,,12,2,,11,1,,12,-1,,12,0,,12,0,,17,-5,,14,3,,17,-3,,15,2,,15,0,,15,0,,14,1,,16,-2,,13,3,,16,-3,,16,0,,15,1,,16,-1,,15,1,,15,0,,16,-1,,17,-1,
"commercial property to lease oxfordshire",https://www.miltonpark.co.uk/commercial-property/,,0,12,0,,13,-1,,13,0,,14,-1,,14,0,,14,0,,14,0,,14,0,,14,0,,15,-1,,15,0,,15,0,,15,0,,17,-2,,15,2,,15,0,,14,1,,14,0,,14,0,,14,0,,16,-2,,16,0,,15,1,,14,1,
"meeting rooms for hire oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",0,10,0,,10,0,,11,-1,,95,-84,,11,84,,10,1,,12,-2,,11,1,,12,-1,,10,2,,11,-1,,11,0,,11,0,,11,0,,10,1,,11,-1,,10,1,,10,0,,10,0,,10,0,,10,0,,10,0,,11,-1,,13,-2,
"conference room hire oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",0,12,0,,12,0,,12,0,,12,0,,13,-1,,13,0,,13,0,,12,1,,13,-1,,13,0,,13,0,,13,0,,13,0,,13,0,,14,-1,,14,0,,14,0,,14,0,,13,1,,14,-1,,15,-1,,13,2,,13,0,,15,-2,
"science park near abingdon",https://www.miltonpark.co.uk/,"Current Target",0,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,
"meeting rooms for hire abingdon",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",0,23,0,,22,1,,22,0,,22,0,,22,0,,21,1,,21,0,,22,-1,,22,0,,24,-2,,24,0,,23,1,,23,0,,23,0,,22,1,,29,-7,,28,1,,23,5,,23,0,,23,0,,23,0,,24,-1,,22,2,,24,-2,
