"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-03-07,Dynamics,2026-03-08,Dynamics,2026-03-09,Dynamics,2026-03-10,Dynamics
"womens cowboy boots uk",https://www.dunelondon.com/womens-boots/womens-western-boots/,,6600,45,0,27,18,37,-10,41,-4
"cowboy boots women",https://www.dunelondon.com/womens-boots/womens-western-boots/,,270,36,0,28,8,31,-3,40,-9
"women's cowboy boots",https://www.dunelondon.com/womens-boots/womens-western-boots/,,610,45,0,33,12,-,0,36,64
"womens black cowboy boots",https://www.dunelondon.com/womens-boots/womens-western-boots/black/,,2400,26,0,24,2,26,-2,27,-1
"cowboy boots womens",https://www.dunelondon.com/womens-boots/womens-western-boots/,,270,38,0,25,13,36,-11,36,0
"ankle cowboy boots womens",https://www.dunelondon.com/womens-boots/womens-western-boots/,,10,41,0,32,9,31,1,36,-5
"brown cowboy boots for women",https://www.dunelondon.com/womens-boots/womens-western-boots/,,10,32,0,18,14,22,-4,22,0
"suede cowboy boots womens",https://www.dunelondon.com/womens-boots/womens-western-boots/,,1300,39,0,33,6,35,-2,35,0
"women cowboy boots",https://www.dunelondon.com/womens-boots/womens-western-boots/,,10,38,0,26,12,-,0,31,69
"Heeled Boots",--,,67510,19,0,17,2,18,-1,27,-9
"heeled boots",https://www.dunelondon.com/womens-boots/womens-heeled-boots/,,18100,1,0,1,0,1,0,1,0
"black heeled boots",https://www.dunelondon.com/womens-boots/womens-heeled-boots/black/,,2400,-,0,6,94,3,3,-,0
"black heeled ankle boots",https://www.dunelondon.com/womens-boots/womens-ankle-boots/,,9900,5,0,14,-9,18,-4,6,12
"heeled ankle boots",https://www.dunelondon.com/womens-boots/womens-ankle-boots/,,6600,9,0,4,5,6,-2,9,-3
"high heel boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,4400,7,0,3,4,8,-5,-,0
"block heel boots",https://www.dunelondon.com/womens-boots/womens-ankle-boots/,,2900,16,0,-,0,16,84,14,2
"black ankle boots low heel",https://www.dunelondon.com/womens-boots/womens-ankle-boots/,,10,24,0,21,3,-,0,3,97
"brown heeled boots",https://www.dunelondon.com/womens-boots/womens-heeled-boots/brown/,,3100,6,0,6,0,6,0,5,1
"heel boots",https://www.dunelondon.com/womens-boots/womens-heeled-boots/,,20100,1,0,2,-1,6,-4,2,4
"Biker Boots",--,,46580,46,0,36,10,35,1,36,-1
"biker boots",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,12100,-,0,8,92,3,5,5,-2
"womens biker boots",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,4400,15,0,13,2,12,1,13,-1
"biker boots women",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,1000,6,0,5,1,5,0,7,-2
"black biker boots",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,2900,7,0,7,0,5,2,7,-2
"ladies biker boots",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,3600,11,0,8,3,8,0,10,-2
"biker boots for women",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,1000,10,0,11,-1,11,0,10,1
"biker boots men",https://www.dunelondon.com/womens-sale/womens-sale-boots/,,880,-,0,-,0,-,0,-,0
"mens biker boots",https://www.dunelondon.com/womens-sale/womens-sale-boots/,,3200,-,0,-,0,-,0,-,0
"women's biker boots",https://www.dunelondon.com/womens-boots/womens-biker-boots/,,12100,8,0,8,0,5,3,8,-3
"biker boots for men",https://www.dunelondon.com/black-friday-offers/womens-black-friday-boots/,,5400,-,0,-,0,-,0,-,0
"Lace up Boots",--,,27640,79,0,88,-9,84,4,93,-9
"lace up boots",https://www.dunelondon.com/black-friday-offers/womens-black-friday-boots/,,5400,-,0,-,0,-,0,-,0
"black lace up boots",https://www.dunelondon.com/womens-boots/,,2900,-,0,-,0,-,0,-,0
"lace up ankle boots",https://www.dunelondon.com/,,4400,-,0,-,0,-,0,-,0
"lace up boots women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,2400,-,0,-,0,-,0,-,0
"lace up ankle boots womens",https://www.dunelondon.com/womens-boots/,,10,-,0,-,0,-,0,-,0
"lace up heeled boots",https://www.dunelondon.com/womens-boots/,,3600,-,0,-,0,-,0,-,0
"womens black lace up boots",https://www.dunelondon.com/womens-boots/,,10,-,0,-,0,-,0,-,0
"womens lace up boots",https://www.dunelondon.com/womens-boots/,,4400,31,0,-,0,-,0,-,0
"mens lace up boots",https://www.dunelondon.com/mens-boots/,,2900,-,0,-,0,-,0,-,0
"brown lace up boots",https://www.dunelondon.com/womens-boots/brown/,,1600,6,0,25,-19,5,20,-,0
"brown lace up boots womens",https://www.dunelondon.com/womens-boots/brown/,,10,14,0,36,-22,7,29,11,-4
"womens black lace up boots",https://www.dunelondon.com/womens-boots/,,10,-,0,-,0,-,0,-,0
"Mens Trainers",--,,479150,43,0,29,14,19,10,46,-27
"mens white trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",60500,21,0,17,4,19,-2,21,-2
"trainers for men",https://www.dunelondon.com/mens-shoes/mens-trainers/,"Current Target",201000,34,0,30,4,30,0,-,0
"mens black trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,"Current Target",33100,-,0,27,73,11,16,40,-29
"white trainers men",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",8100,7,0,9,-2,9,0,9,0
"black trainers men",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,"Current Target",3600,-,0,9,91,6,3,35,-29
"mens smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,"Current Target",14800,4,0,2,2,1,1,5,-4
"mens trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,"Current Target",135000,-,0,-,0,11,89,-,0
"mens white leather trainers",https://www.dunelondon.com/mens-sale/mens-sale-trainers/white/,"Current Target",270,28,0,26,2,27,-1,26,1
"mens black leather trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,"Current Target",80,8,0,10,-2,8,2,17,-9
"mens high top trainers",https://www.dunelondon.com/suttonn-high-top-trainers-black-0485506660009028.html,"Current Target",6600,-,0,-,0,-,0,-,0
"mens smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,"Current Target",14800,9,0,6,3,1,5,3,-2
"mens leather trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,1300,8,0,8,0,4,4,-,0
"Men's Boots",--,,9940,55,0,13,42,4,9,8,-4
"Mens wide fit boots",https://www.dunelondon.com/mens-boots/mens-wide-fit-boots/,,40,9,0,10,-1,2,8,2,0
"Wide fit boots",https://www.dunelondon.com/womens-boots/womens-wide-fit-boots/,,9900,-,0,16,84,6,10,14,-8
"Men's Shoes",--,,41350,16,0,31,-15,23,8,24,-1
"mens casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,"Current Target",5400,3,0,7,-4,3,4,10,-7
"mens black shoes",https://www.dunelondon.com/mens-shoes/black/,"Current Target",10800,2,0,26,-24,24,2,3,21
"leather shoes for men",https://www.dunelondon.com/mens-shoes/,"Current Target",500,4,0,8,-4,10,-2,23,-13
"mens suede shoes",https://www.dunelondon.com/mens-shoes/,"Current Target",2900,-,0,-,0,-,0,34,66
"mens brown shoes",https://www.dunelondon.com/mens-shoes/brown/,"Current Target",3600,1,0,8,-7,1,7,5,-4
"black shoes for men",https://www.dunelondon.com/mens-shoes/black/,"Current Target",3600,1,0,3,-2,9,-6,3,6
"black leather shoes mens",https://www.dunelondon.com/mens-shoes/black/,"Current Target",2900,11,0,21,-10,2,19,3,-1
"white shoes men",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",2400,17,0,30,-13,26,4,41,-15
"mens white shoes",https://www.dunelondon.com/mens-shoes/white/,"Current Target",2400,12,0,-,0,28,72,37,-9
"mens wide fit shoes",https://www.dunelondon.com/mens-wide-fit/,"Current Target",6600,19,0,37,-18,43,-6,-,0
"brown shoes for men",https://www.dunelondon.com/mens-shoes/brown/,"Current Target",250,6,0,5,1,6,-1,10,-4
"Men's Loafers",--,,41710,33,0,27,6,6,21,40,-34
"loafers for men",https://www.dunelondon.com/mens-shoes/mens-loafers/,"Current Target",27100,-,0,-,0,1,99,-,0
"loafers men",https://www.dunelondon.com/mens-shoes/mens-loafers/,"Current Target",4400,2,0,1,1,2,-1,1,1
"black loafers for men",https://www.dunelondon.com/eu/en/mens-shoes/mens-loafers/black/,"Current Target",1000,19,0,10,9,6,4,60,-54
"brown loafers for men",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,"Current Target",330,3,0,3,0,7,-4,2,5
"mens brown loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,"Current Target",80,3,0,2,1,6,-4,2,4
"mens suade loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/,"Current Target",4400,6,0,64,-58,9,55,12,-3
"leather loafers for men",https://www.dunelondon.com/mens-shoes/mens-loafers/,"Current Target",4400,-,0,8,92,12,-4,-,0
"Mens Chelsea Boots",--,,53630,18,0,26,-8,16,10,20,-4
"black chelsea boots mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,130,1,0,2,-1,4,-2,3,1
"mens brown chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,140,11,0,-,0,6,94,6,0
"chelsea boots men",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,9900,3,0,7,-4,7,0,10,-3
"mens chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,9900,6,0,5,1,4,1,8,-4
"mens chelsea boots uk",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,8,0,4,4,5,-1,12,-7
"mens black chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,130,1,0,5,-4,4,1,4,0
"mens suede chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,80,4,0,7,-3,5,2,8,-3
"mens leather chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,10,0,-,0,12,88,7,5
"black chelsea boots men",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,70,1,0,3,-2,3,0,1,2
"chelsea boots men",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,9900,1,0,7,-6,9,-2,9,0
"mens chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,9900,4,0,7,-3,7,0,8,-1
"mens black chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,130,1,0,6,-5,7,-1,3,4
"mens leather chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,8,0,11,-3,8,3,-,0
"black chelsea boots mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,130,1,0,3,-2,3,0,4,-1
"men's chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,70,1,0,5,-4,4,1,6,-2
"mens brown chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,140,5,0,11,-6,8,3,5,3
"brown chelsea boots mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,80,8,0,6,2,7,-1,6,1
"black leather chelsea boots mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,2,0,5,-3,3,2,1,2
"chelsea boots for men",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,590,3,0,8,-5,5,3,9,-4
"chelsea boots men's",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,70,3,0,7,-4,7,0,7,0
"chelsea boots men outfit",https://www.dunelondon.com/all-mens-footwear-and-accessories/,,10,-,0,-,0,-,0,-,0
"mens smart chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,90,8,0,2,6,2,0,2,0
"mens suade chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,3600,7,0,8,-1,-,0,6,94
"mens black suede chelsea boots",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,2,0,3,-1,1,2,5,-4
"chelsea boots mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,6600,1,0,8,-7,7,1,8,-1
"mens chelsea boots sale",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,10,-,0,-,0,16,84,15,1
"barbour chelsea boots mens",https://www.dunelondon.com/all-womens-footwear-and-accessories/,,10,-,0,-,0,-,0,-,0
"chelsea boots on sale mens",https://www.dunelondon.com/mens-boots/mens-chelsea-boots/,,1900,-,0,-,0,10,90,-,0
"Men's Chukka Boots",--,,23110,20,0,18,2,14,4,18,-4
"mens black chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/black/,,1300,3,0,3,0,3,0,4,-1
"mens chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,2900,1,0,5,-4,7,-2,1,6
"chukka boots men",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,540,1,0,5,-4,9,-4,4,5
"chukka boots for men",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,360,1,0,7,-6,10,-3,9,1
"mens black chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/black/,,1300,3,0,4,-1,4,0,4,0
"mens timberland chukka boots",https://www.dunelondon.com/mens-sale/mens-sale-boots/,,1600,-,0,-,0,-,0,-,0
"black chukka boots mens",https://www.dunelondon.com/mens-boots/mens-chukka-boots/black/,,1300,2,0,3,-1,3,0,5,-2
"boots mens chukka",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,5400,1,0,6,-5,1,5,4,-3
"chukka boots men uk",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,1900,7,0,9,-2,7,2,7,0
"mens brown chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,10,4,0,6,-2,6,0,7,-1
"mens suede chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,10,-,0,8,92,7,1,7,0
"mens leather chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,10,2,0,5,-3,2,3,2,0
"navy desert boots mens",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,110,-,0,-,0,-,0,-,0
"mens chukka boots uk",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,40,-,0,9,91,8,1,8,0
"men chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,170,1,0,7,-6,1,6,7,-6
"mens chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,2900,1,0,5,-4,1,4,4,-3
"men's chukka boots",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,590,1,0,5,-4,1,4,7,-6
"chukka boots men",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,540,1,0,9,-8,3,6,8,-5
"mens chukka boot",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,590,1,0,7,-6,1,6,6,-5
"chukka boots mens",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,320,4,0,6,-2,9,-3,6,3
"chukka boot mens",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,320,1,0,1,0,6,-5,6,0
"mens chukka boots sale",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,590,30,0,11,19,27,-16,12,15
"tan chukka boots mens",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,260,7,0,5,2,5,0,5,0
"men's chukka boots uk",https://www.dunelondon.com/mens-boots/mens-chukka-boots/,,50,7,0,-,0,6,94,-,0
"Men's Smart Shoes",--,,14160,4,0,25,-21,11,14,14,-3
"mens smart casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,"Current Target",30,12,0,76,-64,42,34,4,38
"smart shoes for men",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,"Current Target",60,1,0,1,0,2,-1,1,1
"mens black smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,"Current Target",10,1,0,4,-3,4,0,1,3
"black smart shoes for men",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,"Current Target",10,3,0,-,0,4,96,-,0
"brown mens smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/brown/dune-london/,"Current Target",1300,2,0,2,0,1,1,1,0
"mens brown smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/brown/dune-london/,"Current Target",1300,7,0,7,0,3,4,3,0
"mens wide fit smart shoes",https://www.dunelondon.com/mens-wide-fit/,"Current Target",480,8,0,28,-20,32,-4,8,24
"mens smart leather shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,"Current Target",170,3,0,3,0,3,0,4,-1
"mens smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,"Current Target",10800,1,0,1,0,4,-3,2,2
"Men's Casual Shoes",--,,210,14,0,41,-27,54,-13,36,18
"smart casual mens shoes",https://www.dunelondon.com/eu/en-ie/mens-shoes/mens-casual-shoes/,"Current Target",30,18,0,56,-38,-,0,-,0
"smart casual shoes men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,"Current Target",150,11,0,30,-19,28,2,4,24
"smart casual men shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,"Current Target",30,14,0,37,-23,34,3,3,31
"Men's White Shoes",--,,10290,16,0,25,-9,29,-4,23,6
"white shoes for men",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",180,4,0,32,-28,30,2,28,2
"off white shoes mens",https://www.dunelondon.com/mens-sale/,"Current Target",1300,-,0,-,0,-,0,-,0
"shoes mens white",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",1900,16,0,21,-5,28,-7,23,5
"shoes white mens",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",1900,25,0,25,0,25,0,21,4
"white mens shoes",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,"Current Target",390,10,0,7,3,10,-3,13,-3
"men white shoes",https://www.dunelondon.com/mens-shoes/white/,"Current Target",390,12,0,27,-15,25,2,26,-1
"white leather shoes men",https://www.dunelondon.com/mens-shoes/white/,"Current Target",320,1,0,7,-6,7,0,4,3
"mens white leather shoes",https://www.dunelondon.com/mens-shoes/white/,"Current Target",320,5,0,20,-15,23,-3,3,20
"mens white slip on shoes",https://www.dunelondon.com/mens-shoes/white/,"Current Target",2400,18,0,27,-9,43,-16,32,11
"mens whiite shoes",https://www.dunelondon.com/mens-shoes/white/,,0,15,0,31,-16,26,5,13,13
"whiteleather shoes men",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,,0,3,0,24,-21,28,-4,27,1
"white casual shoes for men",https://www.dunelondon.com/mens-shoes/white/,,590,4,0,4,0,10,-6,8,2
"mens white casual shoes",https://www.dunelondon.com/mens-shoes/white/,,590,4,0,4,0,7,-3,3,4
"mens white dress sheos",https://www.dunelondon.com/editorial/trending/MensDressShoes.html,,0,16,0,18,-2,59,-41,30,29
"white dressing shoes for men",https://www.dunelondon.com/mens-shoes/white/,,10,6,0,21,-15,17,4,7,10
"Women's Sandals",--,,5700,-,0,-,0,-,0,-,0
"walking sandals",https://www.dunelondon.com/womens-sandals/,,5700,-,0,-,0,-,0,-,0
"Flat Sandals",--,,23708,49,0,36,13,23,13,27,-4
"designer flat sandals",https://en-bh.dunelondon.com/ladies/ladies-sandals/flat-sandals.html,"Current Target",1900,36,0,24,12,24,0,36,-12
"navy flat sandals",https://www.dunelondon.com/loells-casual-flatform-sandals-navy-0079510830005762.html,"Current Target",1900,33,0,35,-2,35,0,33,2
"pink flat sandals",https://www.dunelondon.com/womens-sandals/pink/,"Current Target",1600,12,0,10,2,29,-19,35,-6
"sparkly flat sandals",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/,"Current Target",1900,-,0,-,0,5,95,-,0
"ankle strap flat sandals",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/,"Current Target",10,-,0,7,93,39,-32,18,21
"cream flat sandals",https://en-bh.dunelondon.com/ladies/ladies-sandals/flat-sandals.html,"Current Target",1300,6,0,8,-2,2,6,3,-1
"diamante flat sandals",https://www.dunelondon.com/nightengale-diamante-flat-sandals-rose-gold-0086503940133708.html,"Current Target",1300,19,0,3,16,7,-4,23,-16
"flat black sandals",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/black/,"Current Target",6600,7,0,1,6,1,0,1,0
"flat gold sandals",https://www.dunelondon.com/,"Current Target",270,-,0,-,0,5,95,82,-77
"flat sandals uk",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/,"Current Target",1300,17,0,1,16,1,0,10,-9
"flat silver sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/flat-sandals.html,"Current Target",140,-,0,7,93,9,-2,41,-32
"gold flatform sandals",https://www.dunelondon.com/lexture-woven-leather-asymmetric-strap-flatform-sandals-gold-0079511060013516.html,"Current Target",50,-,0,-,0,-,0,8,92
"Flat Sandals",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/,"Current Target",5400,1,0,1,0,1,0,1,0
"dune flat sandals",https://www.dunelondon.com/womens-sandals/womens-flat-sandals/,,10,1,0,1,0,1,0,1,0
"embellished flat sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/flat-sandals.html,,10,-,0,-,0,-,0,37,63
"flat espadrille sandals",https://www.dunelondon.com/womens-trends/womens-espadrilles/,,8,-,0,-,0,27,73,29,-2
"flat strappy sandals",https://www.dunelondon.com/womens-sandals/,,10,8,0,9,-1,5,4,3,2
"Ballet Flats / Pumps",--,,75940,27,0,29,-2,54,-25,43,11
"ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",19100,9,0,33,-24,14,19,35,-21
"black ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",2900,10,0,36,-26,-,0,13,87
"leather ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",1900,9,0,8,1,-,0,5,95
"red ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/red/,"Current Target",1500,-,0,-,0,-,0,-,0
"ballet flats with straps",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",10,41,0,41,0,-,0,-,0
"pointed ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",2900,30,0,51,-21,-,0,-,0
"silver ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/metallic/,"Current Target",20,21,0,23,-2,21,2,-,0
"ballet flat shoes",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",1900,10,0,9,1,-,0,10,90
"mary jane ballet flats",https://www.dunelondon.com/editorial/campaigns/MaryJanes.html,"Current Target",1800,6,0,6,0,4,2,54,-50
"ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",8100,7,0,8,-1,-,0,10,90
"black ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",2400,1,0,1,0,18,-17,18,0
"converse ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",2900,-,0,-,0,-,0,-,0
"ballet pump",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",9900,12,0,9,3,-,0,11,89
"ballet pumps uk",https://www.dunelondon.com/womens-shoes/ballet-pumps/,"Current Target",2400,5,0,34,-29,9,25,-,0
"chanel ballet pumps",https://www.dunelondon.com/womens-sandals/,"Current Target",5400,-,0,-,0,-,0,-,0
"silver ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/metallic/,"Current Target",5400,7,0,9,-2,10,-1,49,-39
"white ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/white/,"Current Target",2900,24,0,28,-4,8,20,8,0
"leather ballet pumps",https://www.dunelondon.com/womens-shoes/womens-flat-shoes/,"Current Target",2400,8,0,7,1,7,0,41,-34
"red ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/red/,"Current Target",120,18,0,18,0,25,-7,21,4
"ballet flat",https://www.dunelondon.com/womens-shoes/ballet-pumps/,,1800,24,0,53,-29,-,0,45,55
"womens ballet flats",https://www.dunelondon.com/womens-shoes/ballet-pumps/,,10,5,0,8,-3,8,0,10,-2
"ballet flats for women",https://www.dunelondon.com/womens-shoes/ballet-pumps/,,10,3,0,6,-3,-,0,10,90
"flat ballet",https://www.dunelondon.com/womens-shoes/womens-flat-shoes/,,60,33,0,34,-1,36,-2,36,0
"wide fit ballet pumps",https://www.dunelondon.com/womens-wide-fit/ballet-pumps/,,30,6,0,8,-2,27,-19,13,14
"gold ballet pumps",https://www.dunelondon.com/heat-woven-leather-bow-detail-ballet-pumps-gold-0075510780013516.html,,50,-,0,15,85,8,7,7,1
