"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-02-13,Dynamics,2025-02-16,Dynamics,2025-02-19,Dynamics,2025-02-22,Dynamics,2025-02-25,Dynamics,2025-02-28,Dynamics,2025-03-03,Dynamics,2025-03-06,Dynamics,2025-03-09,Dynamics,2025-03-12,Dynamics,2025-03-15,Dynamics,2025-03-18,Dynamics,2025-03-20,Dynamics,2025-03-21,Dynamics,2025-03-24,Dynamics,2025-03-27,Dynamics,2025-03-30,Dynamics,2025-04-02,Dynamics,2025-04-05,Dynamics,2025-04-08,Dynamics,2025-04-11,Dynamics,2025-04-14,Dynamics,2025-04-17,Dynamics,2025-04-20,Dynamics,2025-04-23,Dynamics,2025-04-26,Dynamics,2025-04-29,Dynamics,2025-05-02,Dynamics,2025-05-05,Dynamics,2025-05-08,Dynamics,2025-05-11,Dynamics,2025-05-14,Dynamics,2025-05-17,Dynamics,2025-05-20,Dynamics,2025-05-23,Dynamics,2025-05-26,Dynamics,2025-05-29,Dynamics,2025-06-01,Dynamics,2025-06-04,Dynamics,2025-06-07,Dynamics,2025-06-10,Dynamics,2025-06-13,Dynamics,2025-06-16,Dynamics,2025-06-19,Dynamics,2025-06-22,Dynamics,2025-06-25,Dynamics,2025-06-28,Dynamics,2025-07-01,Dynamics,2025-07-04,Dynamics,2025-07-07,Dynamics,2025-07-10,Dynamics,2025-07-13,Dynamics,2025-07-16,Dynamics,2025-07-19,Dynamics,2025-07-22,Dynamics,2025-07-25,Dynamics,2025-07-28,Dynamics,2025-07-31,Dynamics,2025-08-03,Dynamics,2025-08-06,Dynamics,2025-08-09,Dynamics,2025-08-12,Dynamics,2025-08-15,Dynamics,2025-08-18,Dynamics,2025-08-21,Dynamics,2025-08-24,Dynamics,2025-08-27,Dynamics,2025-08-30,Dynamics,2025-09-02,Dynamics,2025-09-05,Dynamics,2025-09-08,Dynamics,2025-09-11,Dynamics,2025-09-14,Dynamics,2025-09-17,Dynamics,2025-09-20,Dynamics,2025-09-23,Dynamics,2025-09-26,Dynamics,2025-09-29,Dynamics,2025-10-02,Dynamics,2025-10-05,Dynamics,2025-10-08,Dynamics,2025-10-11,Dynamics,2025-10-14,Dynamics,2025-10-17,Dynamics,2025-10-20,Dynamics,2025-10-23,Dynamics,2025-10-26,Dynamics,2025-10-29,Dynamics,2025-11-01,Dynamics,2025-11-04,Dynamics,2025-11-07,Dynamics,2025-11-10,Dynamics,2025-11-13,Dynamics,2025-11-16,Dynamics,2025-11-19,Dynamics,2025-11-22,Dynamics,2025-11-25,Dynamics,2025-11-28,Dynamics,2025-12-01,Dynamics,2025-12-04,Dynamics,2025-12-07,Dynamics,2025-12-10,Dynamics,2025-12-13,Dynamics,2025-12-16,Dynamics,2025-12-18,Dynamics,2025-12-19,Dynamics,2025-12-22,Dynamics,2025-12-25,Dynamics,2025-12-28,Dynamics,2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics,2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics
"Dutch canopy",https://awningdepot.co.uk/dutch-canopy/,,170,1,0,1,0,2,-1,3,-1,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,2,-1,3,-1,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,3,0,4,-1,4,0,4,0,4,0,2,2,2,0,2,0,2,0,5,-3,4,1,5,-1,6,-1,3,3,5,-2,4,1,4,0,6,-2,7,-1,6,1,5,1,3,2,2,1,2,0,2,0,6,-4,5,1,3,2,3,0,3,0,2,1,2,0,2,0,4,-2,3,1,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,7,-5,11,-4,5,6,4,1,4,0,4,0,7,-3,5,2,5,0,5,0,7,-2,7,0,6,1,6,0,6,0,7,-1,7,0,6,1,5,1,7,-2,7,0,7,0,7,0,4,3,4,0,4,0,6,-2,7,-1,7,0,7,0,8,-1,8,0,8,0,8,0,8,0,8,0,5,3,7,-2,6,1,6,0,7,-1,6,1
"Victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,140,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,-,0,-,0,2,98,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,-,0,2,98
"Victorian awning",https://awningdepot.co.uk/traditional-victorian-awning/,,140,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,-,0,-,0,2,98,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,"No data","No data",2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"Cafe awnings",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Cafe awning",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,58,-57,1,57,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Pub awnings",https://awningdepot.co.uk/,Targeted,70,12,0,12,0,12,0,13,-1,8,5,9,-1,8,1,6,2,6,0,7,-1,6,1,6,0,5,1,6,-1,5,1,5,0,5,0,5,0,6,-1,6,0,5,1,4,1,6,-2,7,-1,5,2,7,-2,6,1,5,1,6,-1,6,0,4,2,12,-8,4,8,4,0,4,0,4,0,4,0,3,1,3,0,5,-2,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,7,-4,3,4,3,0,4,-1,4,0,3,1,4,-1,4,0,4,0,5,-1,4,1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Commercial awnings and canopies",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,70,7,0,7,0,8,-1,5,3,4,1,5,-1,4,1,5,-1,4,1,4,0,4,0,4,0,4,0,5,-1,5,0,5,0,5,0,5,0,7,-2,5,2,5,0,5,0,6,-1,6,0,6,0,9,-3,9,0,8,1,7,1,7,0,6,1,14,-8,12,2,14,-2,13,1,13,0,17,-4,12,5,12,0,12,0,12,0,7,5,6,1,7,-1,6,1,6,0,8,-2,10,-2,8,2,10,-2,5,5,10,-5,8,2,10,-2,7,3,10,-3,9,1,9,0,5,4,5,0,6,-1,7,-1,7,0,6,1,6,0,6,0,5,1,6,-1,6,0,5,1,6,-1,5,1,3,2,3,0,6,-3,6,0,6,0,5,1,6,-1,4,2,-,0,8,92,7,1,8,-1,7,1,8,-1,6,2,6,0,3,3,7,-4,4,3,3,1,3,0,3,0,3,0,3,0,3,0,4,-1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,6,-3,3,3,3,0,3,0,3,0,3,0,3,0
"Commercial retractable awning",https://awningdepot.co.uk/,,70,25,0,23,2,24,-1,25,-1,27,-2,27,0,25,2,11,14,11,0,11,0,13,-2,12,1,11,1,10,1,11,-1,11,0,11,0,10,1,10,0,10,0,9,1,9,0,11,-2,11,0,11,0,12,-1,11,1,11,0,11,0,11,0,11,0,11,0,10,1,10,0,13,-3,13,0,13,0,9,4,9,0,9,0,11,-2,13,-2,9,4,10,-1,9,1,9,0,9,0,13,-4,8,5,11,-3,11,0,11,0,9,2,9,0,9,0,9,0,8,1,12,-4,8,4,7,1,7,0,7,0,7,0,7,0,7,0,8,-1,8,0,7,1,7,0,7,0,7,0,7,0,2,5,2,0,8,-6,8,0,7,1,9,-2,7,2,8,-1,8,0,40,-32,41,-1,40,1,40,0,8,32,10,-2,8,2,8,0,7,1,8,-1,7,1,8,-1,8,0,7,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,8,0,8,0,9,-1,8,1,8,0,8,0,8,0,7,1,8,-1,7,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,7,1,7,0,9,-2,8,1,9,-1,9,0,8,1,8,0,7,1,7,0,8,-1,7,1,7,0,8,-1
"Drop arm awnings",https://awningdepot.co.uk/drop-arm-blind/,,70,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,5,-1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,4,-1,4,0,4,0,3,1,1,2,1,0,2,-1,2,0,4,-2,4,0,2,2,3,-1,2,1,3,-1,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,4,0,4,0,2,2,4,-2,4,0,4,0,4,0,3,1,3,0,4,-1,4,0,5,-1,5,0,2,3,3,-1,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,5,-3,2,3,3,-1,2,1,2,0,3,-1,2,1,4,-2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,4,0,5,-1,4,1,5,-1,4,1
"Dutch canopy awnings",https://awningdepot.co.uk/dutch-canopy/,,50,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,2,1,1,1,2,-1,2,0,1,1,2,-1,2,0,2,0,2,0,3,-1,2,1,3,-1,2,1,2,0,5,-3,4,1,2,2,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,2,0,3,-1,2,1,2,0,2,0,3,-1,4,-1,4,0,2,2,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,7,-5,4,3,4,0,3,1,2,1,4,-2,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,6,-3,4,2,6,-2,4,2,3,1,3,0,3,0,4,-1,3,1,6,-3,6,0,6,0,6,0,6,0,3,3,6,-3,6,0,3,3,6,-3,3,3,6,-3,6,0,6,0,7,-1,7,0,6,1,7,-1
"Dutch canopy awning",https://awningdepot.co.uk/dutch-canopy/,,50,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,2,-1,3,-1,3,0,2,1,2,0,3,-1,4,-1,4,0,4,0,4,0,5,-1,5,0,5,0,4,1,4,0,5,-1,5,0,5,0,5,0,2,3,2,0,2,0,2,0,5,-3,6,-1,6,0,6,0,4,2,5,-1,3,2,5,-2,3,2,3,0,10,-7,7,3,7,0,2,5,2,0,2,0,7,-5,7,0,4,3,7,-3,7,0,2,5,2,0,2,0,7,-5,7,0,7,0,7,0,7,0,7,0,2,5,4,-2,3,1,2,1,8,-6,2,6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,6,-3,6,0,2,4,2,0,6,-4,6,0,4,2,7,-3,7,0,3,4,3,0,6,-3,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,6,-2,5,1,5,0,5,0,5,0,4,1,5,-1,5,0,6,-1,6,0,6,0,6,0,6,0,7,-1,6,1,6,0,6,0,6,0,6,0,5,1,5,0,5,0,5,0,5,0,6,-1,5,1
"Restaurant Awnings UK",https://awningdepot.co.uk/,,30,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",4,0,6,-2,7,-1,7,0,5,2,7,-2,6,1,6,0,7,-1,6,1,4,2,4,0,6,-2,7,-1,4,3,7,-3,3,4,8,-5,4,4,3,1,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,7,-3,5,2,5,0,3,2,3,0,4,-1,5,-1,5,0,3,2,6,-3,5,1,4,1,5,-1,5,0,5,0,5,0,5,0,4,1,6,-2,5,1,6,-1,6,0,6,0,6,0,6,0,7,-1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,1,7,-1,6,1,7,-1,7,0,7,0,7,0,7,0,8,-1,7,1,8,-1,6,2,6,0,6,0,7,-1,7,0,7,0,7,0,7,0,7,0
"Drop arm awnings uk",https://awningdepot.co.uk/drop-arm-blind/,,30,1,0,2,-1,2,0,3,-1,2,1,1,1,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,2,-1,3,-1,3,0,3,0,2,1,1,1,3,-2,4,-1,4,0,4,0,4,0,4,0,4,0,2,2,2,0,2,0,3,-1,4,-1,4,0,4,0,5,-1,5,0,5,0,5,0,5,0,5,0,4,1,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,4,0,4,0,4,0,4,0,4,0,2,2,2,0,3,-1,4,-1,5,-1,4,1,6,-2,5,1,5,0,4,1,5,-1,5,0,5,0,4,1,5,-1,5,0,6,-1,5,1,5,0,4,1,4,0,4,0,4,0,4,0,4,0,10,-6,9,1,4,5,4,0,4,0,4,0,4,0,12,-8,10,2,13,-3,9,4,10,-1,5,5,5,0,9,-4,5,4,10,-5,7,3,4,3,4,0,4,0,5,-1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,10,-6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,5,5,10,-5,5,5,5,0,10,-5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,9,-4,9,0,9,0,8,1,10,-2,5,5
"Traditional victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,30,2,0,2,0,2,0,4,-2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,8,-5,8,0,8,0,3,5,3,0,3,0,3,0,5,-2,2,3,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"Shop awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,20,3,0,4,-1,3,1,2,1,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,3,0,2,1,2,0,2,0,2,0,2,0,2,0,3,-1,6,-3,7,-1,2,5,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,2,0,2,0,2,0,5,-3,2,3,2,0,2,0,3,-1,2,1,2,0,2,0,3,-1,4,-1,5,-1,2,3,4,-2,3,1,3,0,3,0,4,-1,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,4,0,3,1,4,-1,2,2,3,-1,1,2,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,3,-1,2,1,1,1,1,0,2,-1,1,1,1,0,1,0,1,0,-,0,1,99
"Pub awnings uk",https://awningdepot.co.uk/,Targeted,10,11,0,6,5,6,0,8,-2,12,-4,10,2,11,-1,7,4,11,-4,10,1,10,0,20,-10,4,16,4,0,5,-1,5,0,5,0,5,0,6,-1,6,0,5,1,6,-1,5,1,5,0,9,-4,9,0,9,0,9,0,9,0,9,0,9,0,5,4,11,-6,11,0,12,-1,12,0,12,0,9,3,4,5,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,3,1,3,0,3,0,3,0,3,0,3,0,4,-1,3,1,6,-3,4,2,4,0,6,-2,5,1,4,1,4,0,4,0,5,-1,4,1,6,-2,3,3,3,0,3,0,7,-4,7,0,3,4,3,0,3,0,3,0,3,0,3,0,5,-2,4,1,4,0,4,0,4,0,6,-2,6,0,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,5,-1,5,0,4,1
"Pub garden awning",https://awningdepot.co.uk/,Targeted,10,5,0,7,-2,11,-4,10,1,8,2,11,-3,6,5,7,-1,16,-9,15,1,15,0,14,1,13,1,13,0,7,6,12,-5,12,0,4,8,7,-3,6,1,6,0,4,2,10,-6,5,5,6,-1,6,0,6,0,5,1,5,0,6,-1,6,0,5,1,5,0,5,0,5,0,16,-11,18,-2,16,2,17,-1,28,-11,15,13,4,11,4,0,3,1,3,0,3,0,2,1,3,-1,3,0,3,0,2,1,3,-1,4,-1,2,2,3,-1,2,1,2,0,2,0,4,-2,3,1,3,0,4,-1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,-2,5,0,1,4,5,-4,5,0,5,0,5,0,4,1,6,-2,6,0,6,0,7,-1,6,1,6,0,6,0,8,-2,8,0,6,2,6,0,7,-1,7,0,6,1,6,0,6,0,6,0,4,2,6,-2,5,1,4,1,5,-1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,6,-2,3,3,3,0,4,-1,3,1,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,5,-1,6,-1,5,1,4,1,4,0,5,-1,4,1,4,0,5,-1,4,1,4,0,5,-1,5,0,5,0,4,1
"Cafe awnings uk",https://awningdepot.co.uk/cafe-awnings/,Targeted,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,13,-12,1,12,1,0,2,-1,1,1,1,0,1,0,2,-1,2,0,2,0,1,1,2,-1,2,0,2,0,1,1,2,-1,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,"No data","No data",2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,5,-3,5,0,5,0,6,-1,6,0,6,0,6,0,6,0,7,-1,7,0,1,6,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,-,0,2,98,1,1
"Comercial awnings & canopies",https://awningdepot.co.uk/,Targeted,10,12,0,12,0,7,5,5,2,5,0,5,0,5,0,6,-1,6,0,6,0,7,-1,4,3,5,-1,5,0,5,0,4,1,4,0,4,0,4,0,4,0,5,-1,5,0,5,0,6,-1,6,0,8,-2,8,0,8,0,8,0,8,0,8,0,13,-5,13,0,13,0,14,-1,15,-1,7,8,13,-6,13,0,12,1,9,3,9,0,9,0,5,4,7,-2,7,0,7,0,5,2,5,0,5,0,5,0,8,-3,6,2,4,2,6,-2,5,1,4,1,7,-3,3,4,6,-3,5,1,6,-1,5,1,5,0,5,0,3,2,3,0,3,0,3,0,3,0,3,0,3,0,5,-2,5,0,3,2,5,-2,5,0,5,0,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
