"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,Map,2026-02-02,Dynamics,Map,2026-02-03,Dynamics,Map,2026-02-04,Dynamics,Map,2026-02-05,Dynamics,Map,2026-02-06,Dynamics,Map,2026-02-07,Dynamics,Map,2026-02-08,Dynamics,Map,2026-02-09,Dynamics,Map,2026-02-10,Dynamics,Map,2026-02-11,Dynamics,Map,2026-02-12,Dynamics,Map,2026-02-13,Dynamics,Map,2026-02-14,Dynamics,Map,2026-02-15,Dynamics,Map,2026-02-16,Dynamics,Map,2026-02-17,Dynamics,Map,2026-02-18,Dynamics,Map,2026-02-19,Dynamics,Map,2026-02-20,Dynamics,Map,2026-02-21,Dynamics,Map,2026-02-22,Dynamics,Map,2026-02-23,Dynamics,Map,2026-02-24,Dynamics,Map,2026-02-25,Dynamics,Map,2026-02-26,Dynamics,Map,2026-02-27,Dynamics,Map,2026-02-28,Dynamics,Map
"serviced office",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,1300,68,0,,65,3,,60,5,,-,0,,-,0,,75,25,,81,-6,,86,-5,,-,0,,-,0,,79,21,,78,1,,86,-8,,88,-2,,80,8,,74,6,,74,0,,76,-2,,82,-6,,-,0,,90,10,,73,17,,64,9,,71,-7,,62,9,,70,-8,,70,0,,-,0,
"commercial property rental",,,1000,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford tech park",https://www.miltonpark.co.uk/,"Current Target",720,21,0,,19,2,,20,-1,,-,0,,21,79,,21,0,,22,-1,,22,0,,22,0,,20,2,,21,-1,,15,6,,21,-6,,13,8,,23,-10,,20,3,,21,-1,,14,7,,14,0,,16,-2,,18,-2,,17,1,,13,4,,11,2,,15,-4,,16,-1,,17,-1,,15,2,
"meeting rooms in oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,23,0,,25,-2,,21,4,,20,1,,20,0,,20,0,,20,0,,27,-7,,23,4,,22,1,,21,1,,20,1,,20,0,,22,-2,,20,2,,14,6,,18,-4,,20,-2,,19,1,,16,3,,17,-1,,18,-1,,19,-1,,18,1,,24,-6,,23,1,,24,-1,,22,2,
"oxford technology park",https://www.miltonpark.co.uk/,"Current Target",720,21,0,,22,-1,,21,1,,23,-2,,8,15,,23,-15,,24,-1,,21,3,,20,1,,20,0,,20,0,,22,-2,,16,6,,23,-7,,29,-6,,9,20,,11,-2,,11,0,,12,-1,,23,-11,,19,4,,13,6,,19,-6,,19,0,,18,1,,22,-4,,13,9,,12,1,
"conference rooms oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,25,0,,20,5,,25,-5,,22,3,,22,0,,21,1,,21,0,,31,-10,,26,5,,25,1,,23,2,,23,0,,24,-1,,22,2,,16,6,,16,0,,17,-1,,26,-9,,16,10,,11,5,,11,0,,16,-5,,19,-3,,30,-11,,17,13,,23,-6,,17,6,,30,-13,
"meeting rooms oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",720,18,0,,23,-5,,52,-29,,18,34,,18,0,,25,-7,,24,1,,24,0,,25,-1,,25,0,,24,1,,28,-4,,24,4,,23,1,,21,2,,77,-56,,18,59,,21,-3,,22,-1,,20,2,,21,-1,,21,0,,21,0,,20,1,,18,2,,22,-4,,23,-1,,18,5,
"the oxford science park",https://www.miltonpark.co.uk/,"Current Target",720,9,0,,12,-3,,10,2,,7,3,,12,-5,,12,0,,12,0,,32,-20,,33,-1,,33,0,,19,14,,12,7,,7,5,,12,-5,,26,-14,,17,9,,19,-2,,17,2,,33,-16,,16,17,,12,4,,10,2,,11,-1,,11,0,,11,0,,15,-4,,30,-15,,13,17,
"serviced office space",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,590,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,91,9,,-,0,,-,0,,-,0,,-,0,
"commercial property to rent Oxfordshire",https://www.miltonpark.co.uk/commercial-property/20-western-avenue/,,480,15,0,,16,-1,,17,-1,,14,3,,18,-4,,16,2,,16,0,,15,1,,16,-1,,17,-1,,15,2,,16,-1,,15,1,,16,-1,,16,0,,32,-16,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,14,86,
"commercial property to rent oxford",https://www.miltonpark.co.uk/commercial-property/,,480,14,0,,13,1,,13,0,,15,-2,,15,0,,15,0,,15,0,,14,1,,15,-1,,15,0,,14,1,,15,-1,,15,0,,14,1,,14,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"commercial property for rent oxford",https://www.miltonpark.co.uk/commercial-properties/,,480,15,0,,15,0,,17,-2,,16,1,,15,1,,15,0,,15,0,,14,1,,15,-1,,15,0,,14,1,,14,0,,16,-2,,15,1,,15,0,,31,-16,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,33,67,
"commercial property for lease",,,330,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"rent a serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office space to rent",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office rental",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office to rent",https://www.miltonpark.co.uk/commercial-property/office/,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,85,15,,-,0,,-,0,,-,0,,87,13,,88,-1,,80,8,,81,-1,,-,0,,80,20,,-,0,,-,0,,-,0,,89,11,,77,12,,-,0,,-,0,,-,0,,91,9,,84,7,,-,0,,92,8,
"rent serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford science centre",https://www.miltonpark.co.uk/,"Current Target",320,-,0,,-,0,,-,0,,-,0,,-,0,,25,75,,27,-2,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,27,73,,26,1,,15,11,,22,-7,,-,0,,-,0,,-,0,,26,74,,24,2,,27,-3,,28,-1,,11,17,,-,0,,15,85,,-,0,
"what is a serviced office",,,320,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford serviced office",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,260,20,0,,11,9,,11,0,,-,0,,19,81,,9,10,,8,1,,9,-1,,17,-8,,17,0,,9,8,,9,0,,19,-10,,9,10,,9,0,,9,0,,9,0,,8,1,,8,0,,7,1,,10,-3,,10,0,,17,-7,,10,7,,9,1,,10,-1,,9,1,,10,-1,
"science parks in the uk",https://www.miltonpark.co.uk/,"Current Target",260,8,0,,9,-1,,10,-1,,9,1,,9,0,,9,0,,9,0,,10,-1,,9,1,,9,0,,9,0,,10,-1,,8,2,,8,0,,10,-2,,8,2,,7,1,,7,0,,74,-67,,-,0,,6,94,,10,-4,,6,4,,6,0,,7,-1,,14,-7,,14,0,,9,5,
"science park abingdon",https://www.miltonpark.co.uk/,"Current Target",260,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,2,0,,3,-1,,2,1,,3,-1,,2,1,,2,0,,2,0,,2,0,,2,0,,3,-1,,3,0,,3,0,
"science parks uk",https://www.miltonpark.co.uk/,"Current Target",260,7,0,,7,0,,8,-1,,7,1,,7,0,,6,1,,8,-2,,7,1,,10,-3,,10,0,,8,2,,8,0,,7,1,,7,0,,7,0,,6,1,,6,0,,6,0,,15,-9,,6,9,,6,0,,6,0,,5,1,,7,-2,,9,-2,,16,-7,,19,-3,,9,10,
"abingdon science park",https://www.miltonpark.co.uk/,"Current Target",260,2,0,,3,-1,,3,0,,3,0,,2,1,,2,0,,3,-1,,3,0,,3,0,,3,0,,3,0,,2,1,,3,-1,,3,0,,3,0,,3,0,,4,-1,,3,1,,3,0,,3,0,,3,0,,2,1,,2,0,,2,0,,3,-1,,4,-1,,3,1,,3,0,
"uk science parks",https://www.miltonpark.co.uk/,"Current Target",260,13,0,,10,3,,10,0,,12,-2,,8,4,,13,-5,,13,0,,13,0,,8,5,,8,0,,14,-6,,12,2,,13,-1,,12,1,,13,-1,,14,-1,,13,1,,44,-31,,59,-15,,-,0,,12,88,,8,4,,13,-5,,12,1,,11,1,,12,-1,,-,0,,-,0,
"serviced office oxford",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,210,10,0,,10,0,,-,0,,-,0,,-,0,,-,0,,94,6,,94,0,,9,85,,9,0,,16,-7,,11,5,,11,0,,11,0,,14,-3,,-,0,,15,85,,17,-2,,13,4,,8,5,,9,-1,,10,-1,,10,0,,10,0,,9,1,,9,0,,11,-2,,11,0,
"commercial property in oxford",https://www.miltonpark.co.uk/commercial-property/,,170,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,15,85,,-,0,,"No data","No data",,-,0,,15,85,,16,-1,,18,-2,,20,-2,,40,-20,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office for rent",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,170,47,0,,45,2,,44,1,,-,0,,-,0,,47,53,,47,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,55,45,,57,-2,,55,2,,47,8,,35,12,,-,0,,-,0,,-,0,,52,48,,47,5,,51,-4,
"science companies",https://www.miltonpark.co.uk/whos-here/,"Current Target",170,32,0,,16,16,,-,0,,-,0,,-,0,,36,64,,36,0,,25,11,,19,6,,19,0,,28,-9,,25,3,,-,0,,31,69,,-,0,,64,36,,-,0,,48,52,,15,33,,31,-16,,32,-1,,36,-4,,36,0,,26,10,,-,0,,16,84,,-,0,,31,69,
"what is a science park",https://www.miltonpark.co.uk/,"Current Target",170,42,0,,41,1,,42,-1,,-,0,,44,56,,49,-5,,50,-1,,43,7,,45,-2,,43,2,,55,-12,,42,13,,43,-1,,43,0,,28,15,,31,-3,,50,-19,,44,6,,-,0,,-,0,,46,54,,24,22,,47,-23,,43,4,,45,-2,,-,0,,-,0,,27,73,
"science centre abingdon",https://www.miltonpark.co.uk/,"Current Target",140,6,0,,8,-2,,5,3,,4,1,,6,-2,,7,-1,,7,0,,6,1,,6,0,,6,0,,6,0,,6,0,,5,1,,5,0,,5,0,,6,-1,,7,-1,,-,0,,9,91,,6,3,,6,0,,6,0,,6,0,,5,1,,6,-1,,-,0,,14,86,,5,9,
"science park near me",https://www.miltonpark.co.uk/,"Current Target",110,21,0,,22,-1,,42,-20,,31,11,,-,0,,20,80,,39,-19,,41,-2,,39,2,,39,0,,36,3,,23,13,,34,-11,,41,-7,,23,18,,25,-2,,44,-19,,25,19,,15,10,,39,-24,,22,17,,46,-24,,40,6,,38,2,,43,-5,,15,28,,15,0,,38,-23,
"Lab space",https://www.miltonpark.co.uk/lab-space-at-milton-park/,,110,37,0,,35,2,,34,1,,-,0,,34,66,,38,-4,,46,-8,,46,0,,47,-1,,"No data","No data",,35,0,,44,-9,,36,8,,35,1,,40,-5,,33,7,,32,1,,33,-1,,35,-2,,32,3,,35,-3,,34,1,,35,-1,,34,1,,34,0,,40,-6,,35,5,,34,1,
"Laboratory space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,110,25,0,,29,-4,,26,3,,26,0,,26,0,,27,-1,,32,-5,,32,0,,33,-1,,33,0,,27,6,,26,1,,25,1,,25,0,,32,-7,,20,12,,19,1,,26,-7,,22,4,,23,-1,,22,1,,20,2,,22,-2,,23,-1,,18,5,,26,-8,,27,-1,,34,-7,
Labspace,https://www.miltonpark.co.uk/lab-space-at-milton-park/,,110,60,0,,58,2,,59,-1,,-,0,,38,62,,72,-34,,69,3,,70,-1,,71,-1,,"No data","No data",,77,0,,74,3,,-,0,,61,39,,65,-4,,69,-4,,-,0,,70,30,,63,7,,19,44,,63,-44,,69,-6,,-,0,,-,0,,-,0,,68,32,,-,0,,-,0,
"commercial property to rent didcot",https://www.miltonpark.co.uk/commercial-property/,,90,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Rental lab space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,26,0,,59,-33,,43,16,,48,-5,,21,27,,25,-4,,25,0,,25,0,,27,-2,,27,0,,27,0,,28,-1,,26,2,,27,-1,,25,2,,27,-2,,22,5,,25,-3,,21,4,,24,-3,,26,-2,,24,2,,21,3,,21,0,,24,-3,,23,1,,19,4,,19,0,
"Lab rental space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,18,0,,22,-4,,19,3,,16,3,,-,0,,28,72,,28,0,,23,5,,27,-4,,26,1,,26,0,,26,0,,26,0,,30,-4,,27,3,,29,-2,,21,8,,18,3,,20,-2,,23,-3,,22,1,,22,0,,24,-2,,22,2,,24,-2,,27,-3,,20,7,,20,0,
"Laboratory rental space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,18,0,,22,-4,,16,6,,18,-2,,27,-9,,18,9,,19,-1,,21,-2,,19,2,,19,0,,20,-1,,20,0,,21,-1,,21,0,,21,0,,22,-1,,19,3,,21,-2,,18,3,,30,-12,,30,0,,29,1,,21,8,,21,0,,20,1,,25,-5,,19,6,,16,3,
"meeting room hire oxford",https://www.miltonpark.co.uk/meeting-and-conference/,"Current Target",90,9,0,,7,2,,7,0,,9,-2,,62,-53,,12,50,,12,0,,14,-2,,12,2,,11,1,,11,0,,11,0,,12,-1,,16,-4,,11,5,,11,0,,16,-5,,17,-1,,15,2,,11,4,,12,-1,,10,2,,11,-1,,11,0,,11,0,,17,-6,,14,3,,14,0,
"Renting lab space",https://www.miltonpark.co.uk/commercial-property/laboratory/,,90,71,0,,-,0,,-,0,,-,0,,72,28,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,70,30,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"oxford science park companies",https://www.miltonpark.co.uk/,"Current Target",70,9,0,,9,0,,7,2,,11,-4,,9,2,,9,0,,9,0,,6,3,,7,-1,,27,-20,,6,21,,9,-3,,6,3,,7,-1,,10,-3,,11,-1,,16,-5,,8,8,,7,1,,6,1,,6,0,,11,-5,,6,5,,7,-1,,11,-4,,7,4,,8,-1,,8,0,
"science centre near abingdon",https://www.miltonpark.co.uk/,"Current Target",70,6,0,,6,0,,6,0,,3,3,,3,0,,4,-1,,4,0,,6,-2,,6,0,,4,2,,4,0,,4,0,,4,0,,4,0,,4,0,,3,1,,3,0,,5,-2,,3,2,,-,0,,2,98,,5,-3,,3,2,,4,-1,,4,0,,-,0,,6,94,,4,2,
"science and technology park",https://www.miltonpark.co.uk/,"Current Target",50,9,0,,9,0,,7,2,,-,0,,8,92,,7,1,,8,-1,,6,2,,7,-1,,"No data","No data",,5,0,,8,-3,,6,2,,8,-2,,7,1,,7,0,,7,0,,7,0,,8,-1,,7,1,,7,0,,8,-1,,8,0,,8,0,,8,0,,7,1,,7,0,,4,3,
"serviced office benefits",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"fully serviced office space",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"benefits of a serviced office",,,40,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"didcot science park",https://www.miltonpark.co.uk/,"Current Target",40,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,2,-1,,1,1,,1,0,,1,0,,1,0,,1,0,,1,0,,2,-1,,2,0,,1,1,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,
"Lab workspace",https://www.miltonpark.co.uk/commercial-property/,,30,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,51,49,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Office productivity",,,30,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office space oxford",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,20,15,0,,15,0,,14,1,,-,0,,8,92,,15,-7,,14,1,,14,0,,9,5,,9,0,,14,-5,,9,5,,9,0,,9,0,,18,-9,,18,0,,15,3,,8,7,,11,-3,,7,4,,13,-6,,9,4,,8,1,,8,0,,8,0,,9,-1,,9,0,,10,-1,
"commercial property to rent Abingdon",https://www.miltonpark.co.uk/commercial-property/20-western-avenue/,,20,39,0,,37,2,,39,-2,,-,0,,-,0,,44,56,,44,0,,37,7,,39,-2,,39,0,,39,0,,37,2,,37,0,,41,-4,,39,2,,43,-4,,-,0,,-,0,,49,51,,-,0,,-,0,,42,58,,-,0,,47,53,,-,0,,48,52,,35,13,,33,2,
"Laboratory space for lease",https://www.miltonpark.co.uk/commercial-property/laboratory/,,20,42,0,,33,9,,33,0,,-,0,,-,0,,40,60,,54,-14,,28,26,,18,10,,28,-10,,27,1,,27,0,,29,-2,,27,2,,25,2,,21,4,,16,5,,24,-8,,28,-4,,28,0,,37,-9,,23,14,,27,-4,,15,12,,17,-2,,22,-5,,18,4,,16,2,
"serviced office for sale",https://www.miltonpark.co.uk/commercial-property/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,"No data","No data",,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"rent serviced office space",https://www.miltonpark.co.uk/commercial-property/serviced-office/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"Lab space Oxfordshire",https://www.miltonpark.co.uk/commercial-property/laboratory/,,10,3,0,,4,-1,,3,1,,3,0,,2,1,,4,-2,,4,0,,4,0,,4,0,,4,0,,4,0,,9,-5,,4,5,,4,0,,9,-5,,3,6,,3,0,,3,0,,4,-1,,4,0,,4,0,,2,2,,2,0,,5,-3,,2,3,,4,-2,,1,3,,2,-1,
"commercial property to let oxford",https://www.miltonpark.co.uk/commercial-properties/,,10,25,0,,22,3,,25,-3,,17,8,,18,-1,,17,1,,25,-8,,19,6,,28,-9,,28,0,,22,6,,26,-4,,18,8,,27,-9,,18,9,,37,-19,,-,0,,-,0,,-,0,,-,0,,-,0,,36,64,,33,3,,-,0,,-,0,,-,0,,37,63,,38,-1,
"Laboratory rental cost",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"property commercial to rent",https://www.miltonpark.co.uk/commercial-property/,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
"serviced office near me",,,10,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,,-,0,
