"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics,2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics
"shed garden",https://www.buyshedsdirect.co.uk/sheds/small-sheds,810,19,0,14,5,19,-5,19,0,-,0,5,95,2,3,6,-4,14,-8,5,9,2,3,2,0,3,-1,4,-1,3,1,3,0,3,0,3,0,3,0,4,-1,1,3,19,-18,20,-1,2,18,8,-6,3,5,2,1,19,-17,15,4,14,1
"garden shed uk",https://www.buyshedsdirect.co.uk/sheds,270,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,4,0,4,0,4,0,4,0,2,2,2,0,3,-1,3,0,3,0,3,0,2,1,3,-1,12,-9,8,4,9,-1,8,1
"small garden sheds",https://www.buyshedsdirect.co.uk/sheds/small-sheds,210,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,2,0,1,1,3,-2,2,1,2,0,2,0,2,0
"large garden shed",https://www.buyshedsdirect.co.uk/sheds/large-sheds,180,4,0,4,0,3,1,9,-6,10,-1,2,8,8,-6,9,-1,9,0,9,0,7,2,5,2,3,2,3,0,8,-5,8,0,9,-1,8,1,8,0,8,0,19,-11,10,9,3,7,14,-11,12,2,8,4,2,6,8,-6,9,-1,7,2
"garden sheds for sale near me",https://www.buyshedsdirect.co.uk/sheds,150,4,0,5,-1,4,1,7,-3,5,2,2,3,2,0,5,-3,2,3,3,-1,7,-4,8,-1,8,0,8,0,6,2,6,0,7,-1,8,-1,7,1,2,5,5,-3,6,-1,4,2,4,0,2,2,3,-1,7,-4,7,0,7,0,7,0
"garden shed sale",https://www.buyshedsdirect.co.uk/sheds,140,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,6,-2,6,0,1,5,1,0,1,0,4,-3,3,1,4,-1,2,2,4,-2,8,-4,5,3,6,-1
Summerhouses,--,154730,22,0,18,4,18,0,15,3,15,0,17,-2,17,0,16,1,20,-4,36,-16,14,22,14,0,14,0,15,-1,15,0,15,0,15,0,14,1,14,0,14,0,12,2,12,0,16,-4,12,4,15,-3,16,-1,17,-1,16,1,16,0,16,0
"summer house",https://www.buyshedsdirect.co.uk/summer-houses,74000,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",13,0,13,0,15,-2,16,-1,16,0,18,-2,12,6,17,-5,19,-2,17,2,27,-10,27,0,27,0,34,-7,26,8,29,-3
summerhouse,https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,40500,21,0,22,-1,33,-11,21,12,11,10,15,-4,17,-2,6,11,6,0,-,0,15,85,12,3,12,0,13,-1,11,2,11,0,14,-3,16,-2,12,4,15,-3,14,1,15,-1,36,-21,5,31,14,-9,12,2,12,0,11,1,11,0,5,6
"summer houses",https://www.buyshedsdirect.co.uk/summer-houses/contemporary-summer-houses,12100,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",18,0,17,1,17,0,16,1,16,0,16,0,5,11,5,0,14,-9,17,-3,8,9,12,-4,13,-1,13,0,17,-4,13,4
"summer house shed",https://www.buyshedsdirect.co.uk/summer-houses/contemporary-summer-houses,9900,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",12,0,12,0,12,0,12,0,14,-2,12,2,6,6,7,-1,5,2,1,4,7,-6,7,0,9,-2,15,-6,7,8,14,-7
"garden summer house",https://www.buyshedsdirect.co.uk/summer-houses/contemporary-summer-houses,8000,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",17,0,17,0,17,0,17,0,18,-1,17,1,13,4,13,0,18,-5,18,0,12,6,10,2,16,-6,15,1,16,-1,16,0
"summer houses for sale",https://www.buyshedsdirect.co.uk/summer-houses,4400,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",13,0,12,1,12,0,12,0,12,0,12,0,8,4,11,-3,13,-2,10,3,6,4,5,1,4,1,5,-1,4,1,5,-1
"summer house uk",https://www.buyshedsdirect.co.uk/summer-houses/contemporary-summer-houses,3100,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",16,0,16,0,16,0,17,-1,17,0,18,-1,14,4,14,0,18,-4,16,2,7,9,12,-5,12,0,12,0,14,-2,15,-1
summerhouses,https://www.buyshedsdirect.co.uk/summer-houses,2400,-,0,27,73,28,-1,26,2,27,-1,26,1,26,0,26,0,27,-1,19,8,17,2,28,-11,25,3,27,-2,28,-1,28,0,25,3,22,3,21,1,21,0,13,8,16,-3,27,-11,26,1,26,0,25,1,25,0,23,2,27,-4,25,2
"garden summerhouse",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,180,6,0,10,-4,7,3,11,-4,12,-1,12,0,12,0,12,0,11,1,12,-1,6,6,12,-6,13,-1,11,2,12,-1,12,0,11,1,12,-1,12,0,7,5,12,-5,16,-4,20,-4,12,8,7,5,19,-12,22,-3,15,7,15,0,13,2
"summerhouse for sale",https://www.buyshedsdirect.co.uk/summer-houses,30,18,0,18,0,18,0,15,3,15,0,19,-4,18,1,18,0,18,0,15,3,14,1,14,0,16,-2,16,0,14,2,14,0,12,2,12,0,15,-3,12,3,11,1,12,-1,11,1,12,-1,8,4,10,-2,20,-10,19,1,19,0,20,-1
"summerhouse sheds",https://www.buyshedsdirect.co.uk/summer-houses,10,13,0,13,0,13,0,4,9,4,0,13,-9,13,0,13,0,13,0,13,0,4,9,6,-2,6,0,11,-5,6,5,6,0,11,-5,11,0,6,5,13,-7,5,8,6,-1,10,-4,2,8,6,-4,10,-4,10,0,9,1,15,-6,6,9
"8x6 summerhouse",https://www.buyshedsdirect.co.uk/summer-houses/8x6-summer-houses,10,8,0,8,0,7,1,8,-1,6,2,7,-1,7,0,7,0,7,0,8,-1,7,1,6,1,7,-1,6,1,7,-1,7,0,7,0,7,0,6,1,7,-1,7,0,7,0,7,0,5,2,6,-1,7,-1,6,1,5,1,5,0,6,-1
"summerhouse with shed",https://www.buyshedsdirect.co.uk/summer-houses,10,18,0,18,0,19,-1,19,0,18,1,20,-2,20,0,18,2,18,0,17,1,16,1,17,-1,18,-1,17,1,17,0,17,0,17,0,19,-2,17,2,15,2,9,6,9,0,10,-1,14,-4,20,-6,24,-4,19,5,21,-2,22,-1,22,0
"summerhouse and shed",https://www.buyshedsdirect.co.uk/summer-houses,10,19,0,21,-2,20,1,14,6,16,-2,17,-1,18,-1,15,3,19,-4,-,0,12,88,11,1,14,-3,11,3,13,-2,14,-1,13,1,13,0,13,0,11,2,18,-7,5,13,7,-2,5,2,24,-19,23,1,23,0,22,1,22,0,23,-1
"garden sheds and summerhouses",https://www.buyshedsdirect.co.uk/summer-houses,10,15,0,15,0,15,0,4,11,4,0,15,-11,13,2,14,-1,72,-58,-,0,12,88,2,10,2,0,4,-2,2,2,2,0,2,0,3,-1,10,-7,3,7,11,-8,14,-3,3,11,2,1,20,-18,24,-4,19,5,20,-1,20,0,19,1
"corner summerhouses",https://www.buyshedsdirect.co.uk/summer-houses/corner-summer-houses,10,17,0,16,1,17,-1,17,0,17,0,13,4,14,-1,14,0,14,0,14,0,12,2,14,-2,13,1,13,0,14,-1,14,0,14,0,14,0,14,0,14,0,11,3,14,-3,14,0,17,-3,13,4,16,-3,15,1,11,4,13,-2,12,1
"summerhouses for sale",https://www.buyshedsdirect.co.uk/summer-houses,10,15,0,15,0,16,-1,12,4,17,-5,18,-1,18,0,17,1,18,-1,16,2,16,0,15,1,17,-2,18,-1,18,0,18,0,18,0,18,0,14,4,16,-2,19,-3,17,2,13,4,11,2,7,4,8,-1,8,0,8,0,9,-1,8,1
"summerhouse with storage shed",https://www.buyshedsdirect.co.uk/summer-houses,10,14,0,13,1,13,0,13,0,14,-1,15,-1,19,-4,13,6,15,-2,13,2,12,1,11,1,11,0,13,-2,14,-1,14,0,15,-1,15,0,13,2,10,3,12,-2,13,-1,22,-9,21,1,25,-4,17,8,22,-5,19,3,23,-4,18,5
"10 x 8 summerhouse",https://www.buyshedsdirect.co.uk/10x8-apex-summerhouse-forest-4life,10,18,0,18,0,18,0,18,0,18,0,16,2,10,6,17,-7,15,2,10,5,10,0,11,-1,10,1,10,0,10,0,10,0,10,0,10,0,9,1,9,0,9,0,9,0,9,0,9,0,10,-1,10,0,10,0,8,2,8,0,10,-2
"summerhouse with side shed",https://www.buyshedsdirect.co.uk/summer-houses,10,47,0,40,7,42,-2,39,3,39,0,38,1,39,-1,34,5,39,-5,26,13,41,-15,41,0,41,0,41,0,39,2,39,0,45,-6,29,16,38,-9,37,1,32,5,32,0,39,-7,40,-1,39,1,40,-1,38,2,33,5,33,0,37,-4
"sheds and summerhouses",https://www.buyshedsdirect.co.uk/summer-houses,10,17,0,17,0,16,1,12,4,14,-2,17,-3,14,3,14,0,14,0,-,0,13,87,8,5,8,0,14,-6,13,1,13,0,13,0,10,3,12,-2,12,0,9,3,3,6,11,-8,3,8,10,-7,18,-8,18,0,23,-5,20,3,21,-1
"summerhouses uk",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,10,12,0,12,0,12,0,12,0,12,0,12,0,13,-1,12,1,12,0,12,0,13,-1,14,-1,12,2,11,1,14,-3,14,0,14,0,7,7,11,-4,7,4,7,0,19,-12,19,0,7,12,17,-10,18,-1,18,0,12,6,12,0,11,1
"Log Cabin",--,102610,40,0,41,-1,44,-3,42,2,41,1,42,-1,41,1,45,-4,39,6,48,-9,49,-1,45,4,37,8,41,-4,45,-4,39,6,36,3,38,-2,36,2,36,0,35,1,25,10,39,-14,42,-3,52,-10,44,8,44,0,44,0,37,7,35,2
"log cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,47500,27,0,29,-2,46,-17,21,25,21,0,22,-1,26,-4,25,1,25,0,17,8,35,-18,30,5,29,1,52,-23,38,14,38,0,31,7,27,4,29,-2,31,-2,28,3,21,7,-,0,46,54,59,-13,86,-27,80,6,81,-1,64,17,71,-7
"log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,33100,77,0,91,-14,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,67,33,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,33,67,-,0,-,0,-,0,-,0,39,61,-,0,-,0,40,60
"garden cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,8100,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",31,0,31,0,29,2,31,-2,31,0,31,0,13,18,12,1,53,-41,49,4,47,2,52,-5,32,20,23,9,33,-10
"log cabins for sale",https://www.buyshedsdirect.co.uk/garden-log-cabins,8000,18,0,18,0,18,0,18,0,29,-11,50,-21,50,0,50,0,24,26,22,2,-,0,18,82,19,-1,39,-20,-,0,38,62,20,18,18,2,19,-1,20,-1,24,-4,12,12,-,0,22,78,-,0,21,79,21,0,21,0,21,0,21,0
"garden cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,2900,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",29,0,29,0,25,4,31,-6,29,2,30,-1,29,1,12,17,24,-12,53,-29,56,-3,56,0,52,4,18,34,29,-11
"log cabin for sale",https://www.buyshedsdirect.co.uk/garden-log-cabins,1100,49,0,48,1,45,3,44,1,49,-5,47,2,46,1,-,0,45,55,32,13,34,-2,46,-12,45,1,46,-1,43,3,45,-2,41,4,41,0,40,1,40,0,23,17,12,11,13,-1,-,0,-,0,28,72,30,-2,28,2,27,1,26,1
"cabins log",https://www.buyshedsdirect.co.uk/garden-log-cabins,440,-,0,-,0,85,15,-,0,75,25,76,-1,65,11,71,-6,71,0,-,0,35,65,72,-37,80,-8,65,15,72,-7,63,9,62,1,-,0,71,29,66,5,67,-1,14,53,11,3,79,-68,89,-10,-,0,-,0,-,0,85,15,-,0
"wooden cabin garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,390,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",17,0,17,0,16,1,15,1,16,-1,12,4,14,-2,13,1,12,1,14,-2,15,-1,21,-6,17,4,16,1,17,-1
"log cabin garden room",https://www.buyshedsdirect.co.uk/garden-log-cabins,390,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",46,0,46,0,50,-4,46,4,43,3,49,-6,21,28,-,0,62,38,49,13,46,3,72,-26,46,26,41,5,45,-4
"log cabins for garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,240,32,0,32,0,36,-4,34,2,33,1,32,1,31,1,32,-1,31,1,-,0,31,69,30,1,30,0,30,0,33,-3,33,0,31,2,29,2,30,-1,34,-4,30,4,16,14,18,-2,20,-2,50,-30,36,14,36,0,29,7,29,0,32,-3
"garden log cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,180,29,0,25,4,28,-3,27,1,27,0,26,1,28,-2,29,-1,24,5,33,-9,29,4,29,0,29,0,29,0,24,5,25,-1,32,-7,35,-3,27,8,28,-1,27,1,18,9,18,0,31,-13,30,1,34,-4,30,4,29,1,27,2,23,4
"garden log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,70,24,0,24,0,29,-5,24,5,25,-1,24,1,25,-1,25,0,28,-3,30,-2,24,6,17,7,24,-7,24,0,20,4,"No data","No data",20,0,22,-2,22,0,22,0,22,0,14,8,6,8,13,-7,22,-9,23,-1,23,0,23,0,22,1,19,3
"log cabin sheds",https://www.buyshedsdirect.co.uk/garden-log-cabins,60,7,0,7,0,11,-4,10,1,10,0,16,-6,11,5,9,2,9,0,12,-3,-,0,-,0,11,89,11,0,14,-3,14,0,15,-1,12,3,12,0,13,-1,2,11,-,0,18,82,10,8,13,-3,14,-1,14,0,19,-5,17,2,17,0
"garden log cabins uk",https://www.buyshedsdirect.co.uk/garden-log-cabins,50,28,0,27,1,27,0,28,-1,28,0,27,1,28,-1,28,0,28,0,24,4,25,-1,23,2,21,2,22,-1,25,-3,25,0,17,8,17,0,16,1,18,-2,23,-5,11,12,16,-5,18,-2,23,-5,25,-2,26,-1,24,2,23,1,21,2
"log cabin for garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,40,31,0,32,-1,30,2,31,-1,31,0,30,1,28,2,26,2,28,-2,29,-1,29,0,24,5,27,-3,22,5,22,0,23,-1,23,0,23,0,26,-3,25,1,24,1,13,11,14,-1,25,-11,25,0,26,-1,25,1,24,1,23,1,23,0
"log cabin garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,40,39,0,38,1,42,-4,41,1,45,-4,32,13,33,-1,31,2,34,-3,-,0,35,65,27,8,24,3,25,-1,25,0,25,0,23,2,28,-5,27,1,28,-1,22,6,19,3,20,-1,30,-10,33,-3,25,8,49,-24,51,-2,19,32,18,1
"insulated log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,10,59,0,60,-1,70,-10,63,7,66,-3,63,3,63,0,60,3,59,1,22,37,60,-38,65,-5,75,-10,64,11,65,-1,65,0,66,-1,66,0,62,4,63,-1,73,-10,63,10,-,0,71,29,69,2,74,-5,82,-8,71,11,66,5,65,1
"Plastic Sheds",--,92230,6,0,6,0,5,1,7,-2,6,1,6,0,5,1,10,-5,12,-2,14,-2,17,-3,6,11,5,1,6,-1,6,0,6,0,5,1,5,0,5,0,6,-1,5,1,3,2,4,-1,3,1,5,-2,3,2,6,-3,5,1,5,0,4,1
"plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,47500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,6,-4,-,0,2,98,2,0,2,0,3,-1,2,1,2,0,3,-1,3,0,3,0,3,0,12,-9,1,11,2,-1,3,-1,2,1,1,1,2,-1,2,0,2,0,2,0
"plastic sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,20100,3,0,2,1,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,3,1,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,3,0,2,1,2,0,3,-1,3,0,3,0,3,0,2,1,2,0,3,-1,2,1,2,0
"plastic garden shed",https://www.buyshedsdirect.co.uk/sheds/plastic,8000,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,7,-5,2,5,2,0,2,0,3,-1,3,0,2,1,2,0,3,-1,3,0,3,0,2,1,2,0,1,1,2,-1,1,1,2,-1,2,0,2,0,3,-1,2,1,2,0
"shed plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,6600,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,5,-3,2,3,3,-1,3,0,3,0,1,2,2,-1,2,0,3,-1,3,0,3,0,3,0,2,1,3,-1,2,1,3,-1,4,-1,2,2,2,0,2,0,2,0,2,0
"plastic garden sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,3200,3,0,3,0,3,0,4,-1,4,0,4,0,3,1,3,0,6,-3,4,2,4,0,4,0,3,1,2,1,6,-4,6,0,5,1,5,0,5,0,3,2,2,1,3,-1,2,1,5,-3,4,1,2,2,3,-1,7,-4,5,2,2,3
"plastic shed base",https://www.buyshedsdirect.co.uk/6x4-pure-sheds-pro-shed-base-kit,2400,13,0,14,-1,13,1,16,-3,14,2,15,-1,13,2,13,0,11,2,12,-1,-,0,18,82,14,4,16,-2,14,2,14,0,13,1,13,0,19,-6,18,1,6,12,14,-8,12,2,11,1,12,-1,11,1,10,1,11,-1,12,-1,12,0
"garden shed plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,1900,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,5,-2,3,2,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0
"plastic sheds for sale",https://www.buyshedsdirect.co.uk/sheds/plastic,810,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,2,-1,2,0,2,0
"sheds plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,660,4,0,4,0,4,0,4,0,4,0,3,1,4,-1,4,0,6,-2,4,2,3,1,3,0,2,1,4,-2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,2,1,3,-1,4,-1,4,0,3,1
"plastic storage sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,440,4,0,5,-1,4,1,4,0,4,0,7,-3,4,3,4,0,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,5,-3,2,3,2,0,2,0,2,0,6,-4,2,4,2,0,4,-2,2,2,2,0
"plastic storage shed",https://www.buyshedsdirect.co.uk/sheds/plastic,180,3,0,2,1,2,0,4,-2,2,2,2,0,4,-2,2,2,5,-3,2,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"garden sheds plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,150,5,0,4,1,5,-1,4,1,4,0,4,0,3,1,4,-1,4,0,4,0,5,-1,5,0,4,1,2,2,5,-3,5,0,5,0,3,2,3,0,5,-2,2,3,3,-1,2,1,3,-1,8,-5,3,5,3,0,6,-3,6,0,2,4
"plastic garden storage shed",https://www.buyshedsdirect.co.uk/sheds/plastic,100,2,0,2,0,2,0,2,0,5,-3,2,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0
"plastic base for a shed",https://www.buyshedsdirect.co.uk/sheds/accessories/shed-bases,100,13,0,10,3,10,0,12,-2,12,0,13,-1,11,2,11,0,10,1,10,0,13,-3,12,1,12,0,10,2,9,1,10,-1,10,0,10,0,11,-1,12,-1,9,3,10,-1,10,0,8,2,11,-3,9,2,11,-2,10,1,9,1,9,0
"plastic bike shed",https://www.buyshedsdirect.co.uk/sheds/plastic,20,18,0,20,-2,19,1,25,-6,19,6,39,-20,10,29,-,0,34,66,32,2,-,0,22,78,12,10,24,-12,35,-11,35,0,12,23,9,3,12,-3,10,2,10,0,3,7,3,0,3,0,5,-2,4,1,29,-25,12,17,9,3,9,0
"plastic sheds uk",https://www.buyshedsdirect.co.uk/sheds/plastic,10,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,3,0,3,0,2,1,1,1,2,-1,3,-1,3,0,3,0,2,1,2,0,2,0,2,0,2,0
"plastic bicycle shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,20,0,30,-10,20,10,30,-10,30,0,17,13,22,-5,28,-6,29,-1,-,0,-,0,30,70,24,6,28,-4,24,4,24,0,23,1,23,0,22,1,30,-8,29,1,6,23,4,2,7,-3,12,-5,9,3,24,-15,23,1,21,2,9,12
"buy plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,2,0,1,1,1,0,2,-1,2,0,1,1,2,-1,2,0,2,0,1,1,2,-1,2,0,2,0,1,1
"plastic tool shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,2,0,2,0,2,0,2,0,5,-3,2,3,2,0,2,0,5,-3,6,-1,2,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"plastic sheds and storage",https://www.buyshedsdirect.co.uk/sheds/plastic,10,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,-,0,3,97,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,3,0,3,0,2,1,3,-1,3,0,2,1,2,0
