"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics
"Victorian awning",https://awningdepot.co.uk/traditional-victorian-awning/,,140,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,2,-1,2,0,2,0
"Cafe awnings",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Cafe awning",https://awningdepot.co.uk/cafe-awnings/,Targeted,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Pub awnings",https://awningdepot.co.uk/,Targeted,70,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Commercial awnings and canopies",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,70,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,6,-3,3,3
"Commercial retractable awning",https://awningdepot.co.uk/,,70,8,0,7,1,8,-1,7,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,7,1,7,0,9,-2,8,1,9,-1,9,0,8,1,8,0,7,1
"Drop arm awnings",https://awningdepot.co.uk/drop-arm-blind/,,70,3,0,2,1,4,-2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,4,1
"Dutch canopy awnings",https://awningdepot.co.uk/dutch-canopy/,,50,3,0,3,0,6,-3,4,2,6,-2,4,2,3,1,3,0,3,0,4,-1,3,1,6,-3,6,0,6,0,6,0,6,0,3,3,6,-3,6,0,3,3,6,-3,3,3,6,-3,6,0
"Dutch canopy awning",https://awningdepot.co.uk/dutch-canopy/,,50,4,0,4,0,4,0,6,-2,5,1,5,0,5,0,5,0,4,1,5,-1,5,0,6,-1,6,0,6,0,6,0,6,0,7,-1,6,1,6,0,6,0,6,0,6,0,5,1,5,0
"Restaurant Awnings UK",https://awningdepot.co.uk/,,30,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,1,7,-1,6,1,7,-1,7,0,7,0,7,0,7,0,8,-1,7,1,8,-1,6,2,6,0,6,0,7,-1
"Drop arm awnings uk",https://awningdepot.co.uk/drop-arm-blind/,,30,4,0,10,-6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,5,5,10,-5,5,5,5,0,10,-5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,9,-4
"Traditional victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,30,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"Shop awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,20,4,0,4,0,3,1,4,-1,2,2,3,-1,1,2,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,3,-1,2,1,1,1,1,0,2,-1,1,1
"Pub awnings uk",https://awningdepot.co.uk/,Targeted,10,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Pub garden awning",https://awningdepot.co.uk/,Targeted,10,6,0,3,3,3,0,4,-1,3,1,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,5,-1,6,-1,5,1,4,1,4,0,5,-1,4,1,4,0,5,-1,4,1
"Cafe awnings uk",https://awningdepot.co.uk/cafe-awnings/,Targeted,10,1,0,1,0,2,-1,1,1,2,-1,2,0,5,-3,5,0,5,0,6,-1,6,0,6,0,6,0,6,0,7,-1,7,0,1,6,1,0,1,0,1,0,1,0,2,-1,1,1,1,0
"Comercial awnings & canopies",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Victorian awnings london",https://awningdepot.co.uk/traditional-victorian-awning/,,10,5,0,5,0,5,0,5,0,5,0,5,0,5,0,3,2,3,0,2,1,2,0,3,-1,3,0,2,1,2,0,1,1,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0
"Dutch canopies uk",https://awningdepot.co.uk/dutch-canopy/,,10,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Commercial retractable awnings uk",https://awningdepot.co.uk/,,10,12,0,12,0,12,0,12,0,12,0,12,0,12,0,11,1,12,-1,12,0,11,1,11,0,12,-1,12,0,13,-1,10,3,13,-3,13,0,13,0,13,0,13,0,11,2,11,0,11,0
"Shop awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"Awnings and canopies",https://awningdepot.co.uk/,,8,9,0,9,0,21,-12,16,5,11,5,16,-5,12,4,12,0,11,1,11,0,10,1,11,-1,11,0,9,2,9,0,9,0,9,0,9,0,11,-2,8,3,12,-4,9,3,11,-2,11,0
