"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-03-06,Dynamics,2026-03-07,Dynamics,2026-03-08,Dynamics,2026-03-09,Dynamics
"shed for sale",https://www.buyshedsdirect.co.uk/sheds,5700,1,0,1,0,1,0,1,0
shed,https://www.buyshedsdirect.co.uk/sheds,110000,2,0,2,0,1,1,1,0
"Wooden Sheds",--,27300,9,0,5,4,10,-5,4,6
"wooden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,20100,1,0,1,0,2,-1,2,0
"wooden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,6600,2,0,4,-2,2,2,3,-1
"wooden sheds for sale",https://www.buyshedsdirect.co.uk/sheds/wooden,100,2,0,3,-1,2,1,1,1
"small wooden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,10,2,0,3,-1,3,0,4,-1
"cheap wooden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,10,6,0,2,4,4,-2,6,-2
"wooden sheds for sale near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,10,5,0,7,-2,8,-1,2,6
"large wooden sheds",https://www.buyshedsdirect.co.uk/sheds/large-sheds,10,3,0,4,-1,1,3,1,0
"wooden sheds near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,10,5,0,9,-4,3,6,8,-5
"garden shed wooden",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,7,-5,5,2,2,3
"garden wooden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,3,-1,5,-2,2,3
"large wooden shed",https://www.buyshedsdirect.co.uk/sheds/large-sheds,10,1,0,4,-3,1,3,1,0
"small wooden garden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,50,-,0,9,91,13,-4,9,4
"small wooden sheds",https://www.buyshedsdirect.co.uk/sheds/small-sheds,20,8,0,7,1,1,6,2,-1
"wooden garden sheds near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,10,7,0,7,0,3,4,2,1
"wooden garden storage shed",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,5,-3,-,0,4,96
"wooden shed garden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,10,1,0,2,-1,10,-8,2,8
"wooden tool shed",https://www.buyshedsdirect.co.uk/garden-storage/tool-store,320,9,0,8,1,4,4,10,-6
"Sheds by Size",--,45240,2,0,2,0,2,0,2,0
"8x6 shed",https://www.buyshedsdirect.co.uk/sheds/8x6,9900,1,0,1,0,1,0,1,0
"plastic shed 8x6",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,1,0,1,0,1,0
"shed 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,5700,1,0,1,0,1,0,1,0
"8x6 garden shed",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0
"sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,470,1,0,1,0,1,0,1,0
"8x6 sheds",https://www.buyshedsdirect.co.uk/sheds/8x6,240,1,0,1,0,1,0,1,0
"8x6 wooden shed",https://www.buyshedsdirect.co.uk/sheds/8x6,390,1,0,1,0,1,0,1,0
"garden sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0
"wooden sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0
"6x4 shed",https://www.buyshedsdirect.co.uk/sheds/6x4,8100,1,0,2,-1,1,1,2,-1
"6x4 plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,40,1,0,1,0,2,-1,1,1
"plastic shed 6x4",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,1,0,2,-1,1,1
"shed 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,5700,1,0,1,0,1,0,2,-1
"6x4 garden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,40,1,0,2,-1,1,1,2,-1
"6x4 sheds",https://www.buyshedsdirect.co.uk/sheds/6x4,180,1,0,1,0,1,0,2,-1
"6x4 wooden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,10,1,0,2,-1,1,1,1,0
"garden shed 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,40,1,0,1,0,1,0,2,-1
"sheds 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,720,1,0,3,-2,1,2,3,-2
"wooden sheds 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,320,1,0,2,-1,1,1,2,-1
"garden shed 6 x 4 garden sheds",https://www.buyshedsdirect.co.uk/sheds/6x4,9900,1,0,3,-2,17,-14,3,14
"6 x 4 garden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,320,1,0,2,-1,1,1,3,-2
"10x8 shed",https://www.buyshedsdirect.co.uk/sheds/10x8,1500,1,0,1,0,2,-1,3,-1
"shed 10x8",https://www.buyshedsdirect.co.uk/sheds/10x8,210,1,0,7,-6,1,6,1,0
"10x8 metal shed",https://www.buyshedsdirect.co.uk/sheds/10x8,10,4,0,7,-3,7,0,8,-1
"sheds 10x8",https://www.buyshedsdirect.co.uk/sheds/10x8,210,1,0,2,-1,1,1,1,0
"10x8 garden shed",https://www.buyshedsdirect.co.uk/sheds/10x8,20,1,0,1,0,1,0,1,0
"garden shed 8 x 10",https://www.buyshedsdirect.co.uk/sheds/10x8,70,9,0,9,0,3,6,3,0
"10x8 pent shed",https://www.buyshedsdirect.co.uk/sheds/10x8,590,9,0,8,1,5,3,2,3
"10x8 sheds",https://www.buyshedsdirect.co.uk/sheds/10x8,120,1,0,7,-6,1,6,2,-1
"10x8 sheds for sale",https://www.buyshedsdirect.co.uk/sheds/10x8,390,1,0,1,0,1,0,1,0
"Metal Sheds",--,44550,18,0,9,9,7,2,12,-5
"metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,27100,8,0,8,0,8,0,4,4
"metal shed storage building",https://www.buyshedsdirect.co.uk/sheds/metal,30,9,0,10,-1,9,1,4,5
"metal sheds",https://www.buyshedsdirect.co.uk/sheds/metal,9900,8,0,2,6,1,1,2,-1
"metal garden sheds",https://www.buyshedsdirect.co.uk/sheds/metal,1300,3,0,4,-1,2,2,4,-2
"metal garden shed",https://www.buyshedsdirect.co.uk/sheds/metal,3200,9,0,2,7,3,-1,-,0
"metal sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,150,2,0,1,1,1,0,2,-1
"metal shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,180,19,0,9,10,13,-4,19,-6
"metal bike shed",https://www.buyshedsdirect.co.uk/garden-storage/bike-storage-sheds,40,-,0,2,98,2,0,2,0
"metal garden storage shed",https://www.buyshedsdirect.co.uk/sheds/metal,20,10,0,5,5,7,-2,8,-1
"metal storage shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,10,3,0,12,-9,19,-7,22,-3
"metal garden sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,60,3,0,1,2,1,0,1,0
"garden shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,30,10,0,7,3,2,5,2,0
"metal garden sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,10,5,0,2,3,1,1,9,-8
"metal sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,20,8,0,2,6,2,0,2,0
"metal storage sheds",https://www.buyshedsdirect.co.uk/sheds/metal,10,8,0,8,0,8,0,1,7
"shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,1300,-,0,-,0,5,95,9,-4
"small metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,10,4,0,3,1,3,0,3,0
"Steel sheds",https://www.buyshedsdirect.co.uk/sheds/metal,110,5,0,7,-2,7,0,9,-2
"Steel garden sheds",https://www.buyshedsdirect.co.uk/sheds/metal,470,8,0,6,2,2,4,3,-1
"steel sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,480,5,0,1,4,1,0,2,-1
"steel workshop sheds",https://www.buyshedsdirect.co.uk/garden-storage/metal-garages,30,74,0,10,64,52,-42,49,3
"steel storage sheds",https://www.buyshedsdirect.co.uk/sheds/metal,90,3,0,3,0,3,0,3,0
"Plastic Sheds",--,92230,10,0,2,8,4,-2,7,-3
"plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,47500,6,0,1,5,4,-3,2,2
"plastic sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,20100,5,0,1,4,2,-1,2,0
"plastic garden sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,3200,3,0,1,2,1,0,1,0
"plastic garden shed",https://www.buyshedsdirect.co.uk/sheds/plastic,8000,1,0,3,-2,3,0,2,1
"plastic sheds for sale",https://www.buyshedsdirect.co.uk/sheds/plastic,810,2,0,1,1,1,0,1,0
"garden sheds plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,150,4,0,1,3,3,-2,2,1
"plastic base for a shed",https://www.buyshedsdirect.co.uk/sheds/accessories/shed-bases,100,8,0,7,1,3,4,5,-2
"plastic garden storage shed",https://www.buyshedsdirect.co.uk/sheds/plastic,100,2,0,2,0,1,1,4,-3
"plastic shed base",https://www.buyshedsdirect.co.uk/sheds/accessories/shed-bases,2400,8,0,7,1,5,2,-,0
"mini plastic sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,10,-,0,1,99,1,0,7,-6
"small plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,6,0,2,4,1,1,2,-1
"garden shed plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,1900,1,0,1,0,3,-2,2,1
"plastic storage shed",https://www.buyshedsdirect.co.uk/sheds/plastic,180,1,0,2,-1,2,0,2,0
"plastic storage sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,440,1,0,1,0,1,0,2,-1
"shed plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,6600,11,0,1,10,1,0,2,-1
"plastic bike shed",https://www.buyshedsdirect.co.uk/sheds/plastic,20,33,0,4,29,9,-5,6,3
"plastic sheds and storage",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,1,0,3,-2,3,0
"plastic tool shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,1,0,2,-1,1,1
"sheds plastic",https://www.buyshedsdirect.co.uk/sheds/plastic,660,3,0,3,0,3,0,3,0
"buy plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,2,-1,1,1,2,-1
"plastic bicycle shed",https://www.buyshedsdirect.co.uk/garden-storage/bike-storage-sheds,10,18,0,6,12,25,-19,9,16
"plastic sheds uk",https://www.buyshedsdirect.co.uk/sheds/plastic,10,2,0,1,1,3,-2,3,0
Summerhouses,--,154730,15,0,16,-1,21,-5,18,3
summerhouse,https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,40500,4,0,19,-15,13,6,5,8
summerhouses,https://www.buyshedsdirect.co.uk/summer-houses,2400,10,0,17,-7,20,-3,18,2
"summerhouses uk",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,10,8,0,17,-9,19,-2,7,12
"summerhouse for sale",https://www.buyshedsdirect.co.uk/summer-houses/large-summer-houses,30,9,0,-,0,15,85,12,3
"garden summerhouse",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,180,15,0,9,6,6,3,14,-8
"sheds and summerhouses",https://www.buyshedsdirect.co.uk/sheds,10,16,0,13,3,16,-3,16,0
"summerhouse with side shed",https://www.buyshedsdirect.co.uk/summer-houses/summer-houses-with-side-shed,10,34,0,25,9,29,-4,17,12
"10 x 8 summerhouse",https://www.buyshedsdirect.co.uk/10x8-apex-summerhouse-forest-4life,10,10,0,10,0,10,0,8,2
"summerhouse with storage shed",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,10,13,0,16,-3,16,0,20,-4
"summerhouses for sale",https://www.buyshedsdirect.co.uk/summer-houses,10,9,0,8,1,8,0,5,3
"corner summerhouses",https://www.buyshedsdirect.co.uk/summer-houses/corner-summer-houses,10,11,0,12,-1,15,-3,16,-1
"garden sheds and summerhouses",https://www.buyshedsdirect.co.uk/sheds,10,4,0,11,-7,-,0,13,87
"summerhouse and shed",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,10,9,0,10,-1,15,-5,-,0
"summerhouse with shed",https://www.buyshedsdirect.co.uk/summer-houses,10,15,0,19,-4,-,0,7,93
"8x6 summerhouse",https://www.buyshedsdirect.co.uk/summer-houses/8x6-summer-houses,10,4,0,5,-1,4,1,4,0
"summerhouse sheds",https://www.buyshedsdirect.co.uk/summer-houses,10,6,0,7,-1,7,0,5,2
"summer house",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,74000,24,0,14,10,21,-7,19,2
"summer houses",https://www.buyshedsdirect.co.uk/summer-houses,12100,9,0,8,1,5,3,6,-1
"summer house shed",https://www.buyshedsdirect.co.uk/summer-houses,9900,9,0,6,3,8,-2,11,-3
"garden summer house",https://www.buyshedsdirect.co.uk/sheds,8000,-,0,15,85,14,1,30,-16
"summer houses for sale",https://www.buyshedsdirect.co.uk/,4400,5,0,3,2,16,-13,44,-28
"summer house uk",https://www.buyshedsdirect.co.uk/summer-houses/small-summer-houses,3100,7,0,16,-9,14,2,11,3
"Log Cabin",--,102610,21,0,37,-16,31,6,23,8
"log cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,47500,16,0,32,-16,36,-4,7,29
"log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,33100,-,0,-,0,26,74,25,1
"log cabins for sale",https://www.buyshedsdirect.co.uk/garden-log-cabins,8000,12,0,18,-6,18,0,10,8
"log cabin for sale",https://www.buyshedsdirect.co.uk/garden-log-cabins,1100,8,0,18,-10,26,-8,8,18
"garden log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,70,15,0,19,-4,19,0,16,3
"garden log cabins uk",https://www.buyshedsdirect.co.uk/garden-log-cabins,50,11,0,15,-4,8,7,9,-1
"log cabin garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,40,17,0,15,2,14,1,17,-3
"log cabin sheds",https://www.buyshedsdirect.co.uk/garden-log-cabins,60,9,0,3,6,8,-5,10,-2
"cabins log",https://www.buyshedsdirect.co.uk/garden-log-cabins,440,7,0,-,0,-,0,-,0
"garden log cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,180,16,0,20,-4,10,10,16,-6
"insulated log cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,10,58,0,-,0,60,40,55,5
"log cabin for garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,40,12,0,15,-3,14,1,13,1
"log cabins for garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,240,19,0,25,-6,21,4,18,3
"garden cabins",https://www.buyshedsdirect.co.uk/garden-log-cabins,2900,14,0,23,-9,19,4,19,0
"garden cabin",https://www.buyshedsdirect.co.uk/garden-log-cabins,8100,12,0,36,-24,-,0,18,82
"log cabin garden room",https://www.buyshedsdirect.co.uk/garden-log-cabins,390,26,0,71,-45,35,36,28,7
"wooden cabin garden",https://www.buyshedsdirect.co.uk/garden-log-cabins,390,13,0,17,-4,13,4,16,-3
