"Google United Kingdom, interface language: English"
Keyword,URL,"Content Score",Tags,"Search vol.","Website SERP Features","Found SERP Features",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics,2026-03-01,Dynamics,2026-03-02,Dynamics
"azure cloud",,-,,1300,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Microsoft security",,-,,1300,,"Video, People also ask",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Microsoft partner",https://www.6dg.co.uk/about-us/microsoft-partner/,73,,910,,"Sitelinks, Video, People also ask, X (ex-Twitter), See results about, Find results on",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"pen test services",https://www.6dg.co.uk/solution/penetration-testing/,78,"Current Target",720,,"Local pack, Reviews, People also ask, Images",15,0,15,0,14,1,15,-1,15,0,13,2,13,0,13,0,13,0,13,0,13,0,13,0,16,-3,20,-4,20,0,18,2,13,5,19,-6,15,4,16,-1,37,-21,39,-2,29,10,28,1,28,0,33,-5,27,6,28,-1,32,-4,27,5
"network penetration testing",,-,"Current Target",590,,"Reviews, Video, People also ask, Images, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"azure services",https://www.6dg.co.uk/solution/azure-managed-services/,66,,590,,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,36,64,-,0,-,0,-,0,35,65,35,0,-,0,43,57,-,0
"What is phishing in cyber security",,-,,590,,"Reviews, Video, People also ask, Find results on, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"What is social engineering in cyber security",,-,,590,,"Reviews, Video, People also ask, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"managed it security services",https://www.6dg.co.uk/our-capabilities/managed-security-services/,72,,590,"AI Overview","Reviews, People also ask, AI Overview",29,0,31,-2,29,2,-,0,40,60,27,13,27,0,24,3,17,7,17,0,33,-16,33,0,15,18,22,-7,31,-9,34,-3,27,7,33,-6,27,6,23,4,30,-7,29,1,19,10,17,2,29,-12,25,4,15,10,24,-9,23,1,18,5
"Managed security services",https://www.6dg.co.uk/our-capabilities/managed-security-services/,73,,590,,"Reviews, Video, People also ask, AI Overview",19,0,26,-7,18,8,-,0,19,81,19,0,22,-3,22,0,32,-10,32,0,29,3,34,-5,22,12,27,-5,28,-1,19,9,38,-19,26,12,24,2,28,-4,16,12,29,-13,23,6,26,-3,31,-5,26,5,26,0,34,-8,26,8,26,0
"certified penetration testing",https://www.6dg.co.uk/solution/penetration-testing/,73,"Current Target",480,,"Reviews, Video, People also ask, AI Overview",28,0,39,-11,29,10,-,0,-,0,30,70,31,-1,32,-1,31,1,31,0,31,0,42,-11,30,12,31,-1,48,-17,27,21,27,0,27,0,23,4,24,-1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"penetration test uk",https://www.6dg.co.uk/blog/what-is-penetration-testing/,81,"Current Target",480,,"Reviews, Video, People also ask",17,0,26,-9,53,-27,-,0,-,0,52,48,42,10,46,-4,47,-1,47,0,45,2,45,0,44,1,45,-1,43,2,44,-1,22,22,42,-20,42,0,18,24,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,49,51
"pen testing uk",https://www.6dg.co.uk/solution/penetration-testing/,79,"Current Target",480,,"Reviews, People also ask, AI Overview",19,0,22,-3,22,0,-,0,34,66,23,11,34,-11,33,1,24,9,22,2,22,0,21,1,22,-1,22,0,25,-3,25,0,23,2,22,1,25,-3,23,2,30,-7,40,-10,31,9,35,-4,32,3,30,2,30,0,33,-3,32,1,30,2
"penetration testing uk",https://www.6dg.co.uk/solution/penetration-testing/,72,"Current Target",480,,"Reviews, People also ask, AI Overview",25,0,20,5,21,-1,22,-1,37,-15,45,-8,45,0,45,0,52,-7,48,4,42,6,44,-2,37,7,22,15,21,1,22,-1,20,2,25,-5,28,-3,22,6,22,0,35,-13,34,1,30,4,33,-3,28,5,28,0,28,0,27,1,23,4
"cyber security managed services",https://www.6dg.co.uk/our-capabilities/managed-security-services/,74,,480,,"Reviews, AI Overview",23,0,23,0,22,1,-,0,22,78,36,-14,22,14,22,0,19,3,19,0,22,-3,21,1,35,-14,22,13,21,1,20,1,19,1,20,-1,33,-13,23,10,20,3,21,-1,29,-8,32,-3,21,11,19,2,20,-1,21,-1,27,-6,21,6
"Cyber security assessment",https://www.6dg.co.uk/solution/cyber-security-assessments/,70,,480,,"Reviews, Video, People also ask, AI Overview",4,0,4,0,4,0,74,-70,4,70,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,4,-1,3,1,4,-1,3,1,4,-1,3,1,4,-1,4,0,4,0,3,1,6,-3,3,3,3,0,3,0
"certified penetration test",https://www.6dg.co.uk/solution/penetration-testing/,72,"Current Target",390,,"Reviews, Video, People also ask, Images, AI Overview",41,0,30,11,29,1,-,0,-,0,40,60,36,4,36,0,35,1,38,-3,39,-1,45,-6,46,-1,35,11,29,6,32,-3,30,2,49,-19,34,15,32,2,94,-62,64,30,-,0,-,0,60,40,-,0,96,4,85,11,88,-3,85,3
"certified penetration tester",https://www.6dg.co.uk/solution/penetration-testing/,64,"Current Target",390,,"Reviews, Video, People also ask, Images, AI Overview",38,0,38,0,37,1,-,0,-,0,38,62,45,-7,45,0,39,6,39,0,39,0,45,-6,49,-4,36,13,46,-10,31,15,40,-9,40,0,34,6,42,-8,75,-33,72,3,82,-10,82,0,80,2,80,0,75,5,75,0,90,-15,69,21
"What is MDR",https://www.6dg.co.uk/what-is-mdr/,65,,390,,"Reviews, Video, People also ask, Images, Find results on, AI Overview",16,0,20,-4,21,-1,17,4,21,-4,21,0,16,5,17,-1,15,2,23,-8,25,-2,26,-1,20,6,27,-7,21,6,27,-6,24,3,20,4,30,-10,29,1,23,6,21,2,19,2,21,-2,19,2,19,0,22,-3,20,2,16,4,24,-8
"Microsoft business partner",,-,,390,,"Reviews, Video, People also ask, Find results on",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"managed detection and response",https://www.6dg.co.uk/blog/managed-detection-and-response-mdr/,-,,390,"AI Overview","Reviews, Video, People also ask, AI Overview",36,0,37,-1,47,-10,21,26,35,-14,34,1,36,-2,25,11,37,-12,37,0,21,16,35,-14,34,1,31,3,39,-8,25,14,38,-13,36,2,39,-3,25,14,24,1,39,-15,36,3,35,1,38,-3,33,5,31,2,31,0,89,-58,44,45
"what is mdr",https://www.6dg.co.uk/what-is-mdr/,66,,390,,"Reviews, Video, People also ask, Images, Find results on, AI Overview",15,0,16,-1,20,-4,17,3,17,0,20,-3,16,4,19,-3,15,4,15,0,25,-10,19,6,20,-1,27,-7,25,2,23,2,24,-1,19,5,22,-3,19,3,31,-12,21,10,19,2,20,-1,21,-1,18,3,16,2,21,-5,22,-1,17,5
"cybersecurity companies",,-,,320,,"Reviews, Video, People also ask, Find results on, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"managed cyber security",https://www.6dg.co.uk/our-capabilities/managed-security-services/,-,,320,,"Reviews, Video, People also ask, AI Overview",43,0,44,-1,46,-2,-,0,-,0,-,0,-,0,36,64,38,-2,38,0,36,2,-,0,41,59,50,-9,17,33,39,-22,35,4,38,-3,38,0,38,0,53,-15,37,16,39,-2,36,3,38,-2,34,4,40,-6,40,0,33,7,40,-7
"managed cybersecurity services",https://www.6dg.co.uk/our-capabilities/managed-security-services/,69,,320,,"Reviews, People also ask, AI Overview",-,0,-,0,-,0,-,0,-,0,36,64,21,15,21,0,21,0,33,-12,36,-3,36,0,25,11,25,0,26,-1,26,0,25,1,26,-1,25,1,37,-12,37,0,27,10,36,-9,24,12,36,-12,23,13,28,-5,28,0,19,9,18,1
"managed cyber security services",https://www.6dg.co.uk/our-capabilities/managed-security-services/,77,,320,,Reviews,27,0,34,-7,25,9,-,0,-,0,28,72,23,5,23,0,25,-2,26,-1,28,-2,28,0,26,2,27,-1,28,-1,27,1,26,1,37,-11,37,0,41,-4,30,11,29,1,29,0,29,0,25,4,21,4,22,-1,21,1,24,-3,21,3
"what is red teaming",https://www.6dg.co.uk/blog/what-is-red-teaming/,-,"Current Target",320,,"Reviews, Video, People also ask, Images, Find results on, AI Overview",63,0,52,11,51,1,13,38,-,0,52,48,53,-1,-,0,-,0,-,0,13,87,-,0,-,0,-,0,12,88,14,-2,7,7,6,1,12,-6,18,-6,14,4,17,-3,15,2,17,-2,14,3,21,-7,17,4,14,3,12,2,15,-3
"red teaming",https://www.6dg.co.uk/blog/what-is-red-teaming/,81,"Current Target",320,"AI Overview","Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",48,0,26,22,41,-15,-,0,41,59,50,-9,44,6,49,-5,49,0,49,0,47,2,47,0,46,1,49,-3,30,19,32,-2,25,7,29,-4,25,4,45,-20,73,-28,26,47,79,-53,31,48,34,-3,33,1,34,-1,32,2,36,-4,44,-8
"What is cybersecurity",https://www.6dg.co.uk/blog/what-is-cyber-security/,-,,270,,"Video, People also ask, Find results on, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"pen test companies",https://www.6dg.co.uk/solution/penetration-testing/,70,"Current Target",260,,"Reviews, People also ask, AI Overview",-,0,-,0,-,0,35,65,35,0,56,-21,74,-18,60,14,55,5,55,0,56,-1,65,-9,58,7,61,-3,60,1,61,-1,61,0,55,6,57,-2,61,-4,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"pen testing companies",https://www.6dg.co.uk/solution/penetration-testing/,67,"Current Target",260,,"Local pack, Reviews, People also ask, AI Overview",-,0,-,0,51,49,-,0,33,67,52,-19,45,7,51,-6,58,-7,52,6,54,-2,53,1,50,3,46,4,44,2,49,-5,49,0,55,-6,53,2,70,-17,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"penetration testing companies",https://www.6dg.co.uk/solution/penetration-testing/,71,"Current Target",260,,"Local pack, Reviews, Video, AI Overview",22,0,24,-2,30,-6,-,0,25,75,27,-2,26,1,33,-7,26,7,31,-5,34,-3,33,1,25,8,36,-11,24,12,34,-10,27,7,29,-2,26,3,26,0,-,0,-,0,-,0,-,0,-,0,-,0,89,11,96,-7,-,0,-,0
"crest pen testing",https://www.6dg.co.uk/blog/check-crest-penetration-testing/,59,"Current Target",260,,"Reviews, Sitelinks, Video, People also ask, Images",29,0,33,-4,33,0,-,0,29,71,30,-1,30,0,30,0,28,2,28,0,29,-1,27,2,25,2,26,-1,24,2,22,2,22,0,37,-15,22,15,22,0,34,-12,34,0,34,0,29,5,33,-4,31,2,40,-9,29,11,29,0,28,1
"crest penetration testing",https://www.6dg.co.uk/blog/check-crest-penetration-testing/,62,"Current Target",260,,"Reviews, Sitelinks, Video, People also ask",25,0,25,0,38,-13,17,21,45,-28,27,18,27,0,27,0,27,0,27,0,27,0,28,-1,28,0,28,0,31,-3,17,14,21,-4,21,0,22,-1,19,3,24,-5,28,-4,25,3,25,0,36,-11,21,15,23,-2,20,3,24,-4,18,6
"certified pen tester",https://www.6dg.co.uk/solution/penetration-testing/,66,"Current Target",260,,"Reviews, Video, People also ask, Images, AI Overview",31,0,32,-1,32,0,32,0,32,0,52,-20,46,6,46,0,35,11,35,0,40,-5,36,4,55,-19,57,-2,35,22,38,-3,37,1,-,0,35,65,39,-4,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,38,62,37,1
"Colocation UK",,-,,260,,"Reviews, People also ask, Knowledge Panel",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Colocation services",,-,,260,,"Reviews, Video, People also ask, Find results on, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Cyber security testing",https://www.6dg.co.uk/blog/importance-of-penetration-testing-in-cyber-security/,-,,260,,"Reviews, Video, People also ask, AI Overview",49,0,48,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,69,31,76,-7,68,8,72,-4,71,1,98,-27,74,24,68,6
"red teaming meaning",https://www.6dg.co.uk/blog/what-is-red-teaming/,74,"Current Target",260,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Microsoft cloud azure",,-,,260,,"Reviews, Sitelinks, Video, People also ask, Knowledge Panel",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"red teaming cyber security",https://www.6dg.co.uk/solution/penetration-testing/red-teaming/,76,"Current Target",260,,"Reviews, Video, People also ask, Images, Find results on, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"cyber attacks",,-,,210,,"Video, Top stories, People also ask, Images",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Cyber security assessment service",https://www.6dg.co.uk/solution/cyber-security-assessments/,77,,210,"AI Overview","Reviews, Video, AI Overview",2,0,2,0,2,0,3,-1,2,1,2,0,3,-1,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,2,1,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,4,-2,4,0,4,0
"managed cloud services",https://www.6dg.co.uk/,63,,210,,"Video, People also ask, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"mdr services",https://www.6dg.co.uk/what-is-mdr/,77,,210,Images,"Reviews, Video, People also ask, Images, AI Overview",15,0,27,-12,15,12,26,-11,14,12,13,1,12,1,12,0,13,-1,13,0,20,-7,24,-4,14,10,14,0,11,3,28,-17,12,16,13,-1,12,1,13,-1,13,0,14,-1,12,2,12,0,15,-3,14,1,21,-7,21,0,21,0,21,0
"Colocation data centre",,-,,210,,"Video, People also ask, See results about, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"mdr security",https://www.6dg.co.uk/what-is-mdr/,72,,170,"AI Overview","Reviews, Video, People also ask, Images, Find results on, AI Overview",29,0,15,14,28,-13,10,18,10,0,13,-3,13,0,13,0,30,-17,30,0,30,0,14,16,13,1,16,-3,21,-5,15,6,18,-3,34,-16,30,4,18,12,18,0,33,-15,17,16,18,-1,16,2,11,5,11,0,20,-9,22,-2,20,2
"red teaming testing",https://www.6dg.co.uk/solution/penetration-testing/red-teaming/,72,"Current Target",170,,"Reviews, Video, People also ask, Images, Find results on, AI Overview",11,0,31,-20,13,18,-,0,-,0,-,0,-,0,18,82,31,-13,31,0,21,10,18,3,20,-2,19,1,35,-16,-,0,-,0,14,86,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,12,88,11,1,30,-19,13,17
"azure uk",https://www.6dg.co.uk/solution/azure-managed-services/,73,,140,,"Reviews, People also ask, Images, Top Ads",69,0,70,-1,42,28,-,0,-,0,20,80,90,-70,72,18,67,5,67,0,-,0,70,30,68,2,90,-22,63,27,70,-7,71,-1,62,9,95,-33,66,29,59,7,74,-15,57,17,-,0,80,20,66,14,45,21,59,-14,53,6,54,-1
"red teaming services",https://www.6dg.co.uk/solution/penetration-testing/red-teaming/,-,"Current Target",140,,"Reviews, Video, People also ask, AI Overview",15,0,16,-1,15,1,12,3,15,-3,13,2,13,0,13,0,17,-4,17,0,24,-7,21,3,22,-1,23,-1,24,-1,24,0,24,0,21,3,22,-1,23,-1,24,-1,23,1,22,1,23,-1,22,1,17,5,20,-3,18,2,15,3,16,-1
"Colocation London",,-,,140,,"Local pack, Video, Images",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"managed detection and response services",https://www.6dg.co.uk/blog/managed-detection-and-response-mdr/,-,,140,"AI Overview","Reviews, Video, People also ask, Images, AI Overview",45,0,46,-1,44,2,30,14,29,1,52,-23,45,7,43,2,28,15,28,0,45,-17,45,0,24,21,26,-2,45,-19,47,-2,27,20,47,-20,49,-2,48,1,46,2,45,1,76,-31,47,29,39,8,35,4,47,-12,41,6,51,-10,51,0
"red teaming exercise",https://www.6dg.co.uk/blog/what-is-red-teaming/,81,"Current Target",140,"AI Overview","Reviews, Video, People also ask, Images, AI Overview",9,0,8,1,8,0,12,-4,9,3,10,-1,8,2,9,-1,8,1,11,-3,9,2,9,0,9,0,9,0,10,-1,8,2,8,0,8,0,9,-1,9,0,9,0,9,0,9,0,11,-2,8,3,10,-2,8,2,11,-3,10,1,8,2
"security testing services",https://www.6dg.co.uk/solution/penetration-testing/,67,,140,,"Local pack, Reviews, AI Overview",26,0,29,-3,22,7,14,8,18,-4,27,-9,27,0,20,7,17,3,17,0,19,-2,21,-2,17,4,22,-5,15,7,30,-15,20,10,24,-4,21,3,32,-11,42,-10,41,1,36,5,35,1,38,-3,28,10,29,-1,37,-8,46,-9,34,12
"Cloud transformation",https://www.6dg.co.uk/whitepaper/cloud-transformation-for-smes/,61,,140,,"Video, People also ask, Images, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"ms azure",https://www.6dg.co.uk/solution/azure-managed-services/,-,,120,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,32,68,30,2,36,-6,29,7,19,10,18,1,27,-9,26,1,26,0,27,-1,29,-2,29,0,19,10,18,1
"cloud adoption",https://www.6dg.co.uk/solution/cloud-adoption-framework/,75,,110,,"Video, People also ask, Images, AI Overview",19,0,19,0,16,3,-,0,-,0,21,79,24,-3,17,7,17,0,17,0,22,-5,17,5,16,1,18,-2,24,-6,16,8,17,-1,19,-2,18,1,20,-2,23,-3,32,-9,22,10,17,5,19,-2,26,-7,20,6,20,0,20,0,19,1
"mdr cyber",https://www.6dg.co.uk/what-is-mdr/,-,,110,"AI Overview","Reviews, Video, People also ask, Images, AI Overview",15,0,12,3,12,0,-,0,12,88,11,1,11,0,18,-7,12,6,12,0,13,-1,12,1,15,-3,13,2,14,-1,13,1,-,0,14,86,22,-8,13,9,12,1,13,-1,12,1,11,1,20,-9,13,7,15,-2,23,-8,21,2,33,-12
"Microsoft certified partner",https://www.6dg.co.uk/about-us/microsoft-partner/,-,,110,,"Reviews, Video, People also ask",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Cloud network services",,-,,110,,"Reviews, Video, People also ask, Images, GBP",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
