"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics
"weekly fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,18,0,20,-2,21,-1,18,3,25,-7,24,1,25,-1,22,3,21,1,23,-2,24,-1,13,11,13,0,13,0,13,0,14,-1,14,0,15,-1,14,1,14,0,14,0,14,0,12,2,10,2
"fresh fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,3,0,3,0,14,-11,13,1,13,0,13,0,13,0,3,10,3,0,3,0,13,-10,13,0,11,2,11,0,12,-1,15,-3,15,0,4,11,12,-8,12,0,12,0,3,9,4,-1,4,0
"fresh fruit for office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,3,0,3,0,9,-6,10,-1,9,1,8,1,8,0,8,0,31,-23,8,23,8,0,8,0,8,0,8,0,10,-2,8,2,8,0,8,0,8,0,8,0,93,-85,8,85,8,0,4,4
"fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",70,21,0,12,9,21,-9,27,-6,27,0,25,2,24,1,25,-1,25,0,26,-1,27,-1,23,4,22,1,21,1,16,5,24,-8,23,1,24,-1,22,2,22,0,24,-2,25,-1,24,1,19,5
"fruit for office delivery",https://www.fruit4london.co.uk/,"Current targets",10,5,0,11,-6,16,-5,14,2,17,-3,17,0,17,0,14,3,14,0,14,0,17,-3,16,1,15,1,15,0,15,0,16,-1,15,1,13,2,14,-1,16,-2,16,0,15,1,13,2,16,-3
"Office fruit delivery uk",https://www.fruit4london.co.uk/pages/office-delivery,"Current targets",10,10,0,10,0,73,-63,10,63,11,-1,11,0,11,0,11,0,11,0,86,-75,11,75,5,6,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,70,-65
"fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,360,7,0,5,2,11,-6,8,3,11,-3,11,0,8,3,10,-2,9,1,4,5,4,0,3,1,6,-3,4,2,4,0,5,-1,2,3,8,-6,7,1,10,-3,10,0,12,-2,10,2,5,5
"fruit baskets delivered",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,3,0,5,-2,7,-2,5,2,6,-1,6,0,6,0,6,0,6,0,7,-1,6,1,7,-1,7,0,7,0,7,0,6,1,6,0,6,0,6,0,6,0,6,0,6,0,6,0,5,1
"gift fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,3,0,8,-5,5,3,5,0,5,0,5,0,5,0,5,0,5,0,4,1,4,0,4,0,4,0,4,0,4,0,4,0,3,1,5,-2,4,1,6,-2,5,1,4,1,5,-1,5,0
"fruit baskets for delivery",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,4,0,8,-4,4,4,4,0,5,-1,5,0,5,0,5,0,5,0,8,-3,5,3,8,-3,8,0,8,0,8,0,8,0,6,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0
"fruit baskets near me",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,320,16,0,3,13,10,-7,14,-4,11,3,6,5,11,-5,10,1,9,1,7,2,4,3,7,-3,5,2,4,1,5,-1,6,-1,3,3,15,-12,16,-1,14,2,14,0,14,0,10,4,10,0
"get well fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets-thank-you,,390,12,0,11,1,11,0,11,0,10,1,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
"gift and fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,4,0,4,0,5,-1,4,1,8,-4,9,-1,13,-4,14,-1,14,0,4,10,4,0,4,0,4,0,4,0,4,0,4,0,3,1,4,-1,4,0,9,-5,9,0,9,0,6,3,6,0
"fruit baskets gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,3,0,4,-1,5,-1,4,1,5,-1,5,0,5,0,5,0,5,0,4,1,4,0,3,1,4,-1,4,0,4,0,4,0,4,0,5,-1,5,0,5,0,5,0,5,0,5,0,4,1
"fruit baskets as gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,590,9,0,7,2,10,-3,9,1,10,-1,10,0,10,0,9,1,10,-1,7,3,7,0,5,2,5,0,5,0,4,1,5,-1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,1
"fruit baskets delivered uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,170,2,0,8,-6,4,4,3,1,4,-1,4,0,4,0,4,0,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,4,0,4,0,4,0,4,0,4,0,4,0
"fruit baskets london uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit and veg delivery",https://www.fruit4london.co.uk/,,150,34,0,46,-12,43,3,30,13,36,-6,37,-1,38,-1,32,6,31,1,28,3,30,-2,32,-2,24,8,29,-5,29,0,40,-11,37,3,36,1,40,-4,36,4,37,-1,31,6,32,-1,32,0
"fruit and veg delivery near me",https://www.fruit4london.co.uk/,,10,55,0,56,-1,55,1,57,-2,56,1,63,-7,56,7,63,-7,63,0,61,2,59,2,59,0,59,0,64,-5,45,19,60,-15,68,-8,67,1,64,3,63,1,60,3,63,-3,60,3,56,4
"fresh fruit and veg delivery",https://www.fruit4london.co.uk/,,590,33,0,37,-4,39,-2,35,4,31,4,38,-7,37,1,43,-6,45,-2,40,5,42,-2,46,-4,45,1,43,2,44,-1,42,2,42,0,45,-3,46,-1,48,-2,46,2,45,1,45,0,37,8
"fruit and veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,260,47,0,31,16,51,-20,48,3,49,-1,51,-2,51,0,54,-3,49,5,57,-8,50,7,48,2,50,-2,48,2,56,-8,50,6,48,2,56,-8,57,-1,46,11,55,-9,55,0,51,4,38,13
"fruit and veg box delivery near me",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,320,52,0,59,-7,67,-8,57,10,52,5,61,-9,60,1,62,-2,68,-6,68,0,-,0,62,38,62,0,61,1,64,-3,55,9,55,0,-,0,64,36,64,0,66,-2,-,0,68,32,74,-6
"delivery fruit and veg",https://www.fruit4london.co.uk/,,1600,39,0,39,0,39,0,35,4,35,0,35,0,38,-3,33,5,36,-3,32,4,33,-1,34,-1,35,-1,31,4,32,-1,39,-7,36,3,37,-1,37,0,35,2,35,0,28,7,26,2,26,0
"fruit veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,110,43,0,45,-2,48,-3,46,2,43,3,45,-2,39,6,53,-14,53,0,51,2,40,11,52,-12,49,3,50,-1,48,2,47,1,45,2,56,-11,58,-2,50,8,56,-6,57,-1,54,3,63,-9
"local fruit and veg delivery",https://www.fruit4london.co.uk/,,320,67,0,67,0,70,-3,51,19,50,1,51,-1,50,1,47,3,49,-2,49,0,49,0,-,0,58,42,51,7,50,1,53,-3,55,-2,53,2,54,-1,-,0,-,0,39,61,39,0,39,0
"fruit and veg deliveries",https://www.fruit4london.co.uk/,,10,51,0,52,-1,56,-4,33,23,53,-20,53,0,54,-1,31,23,31,0,31,0,30,1,36,-6,26,10,30,-4,31,-1,37,-6,37,0,40,-3,37,3,37,0,40,-3,37,3,37,0,39,-2
"fruit & veg deliveries",https://www.fruit4london.co.uk/,,1600,32,0,34,-2,32,2,30,2,33,-3,33,0,35,-2,27,8,28,-1,25,3,27,-2,23,4,22,1,21,1,28,-7,28,0,26,2,35,-9,36,-1,34,2,36,-2,36,0,38,-2,36,2
